,option1,option3-1,option3-2,option3-3,option3-4,option3-5,option4-1,option4-2,m1,m2,m3,m4,m5
0,23.24785991,23.83683484,23.8414997,24.11866701,23.62797658,22.86201638,23.91676544,22.85804862,7.509000426,5.408024154,7.851379853,3.106896602,75.43075107
1,23.27344336,24.02379679,23.85580192,23.89998695,23.56473666,22.8627312,23.91766152,22.85366053,4.992360319,6.342606885,10.1158439,2.945598814,75.43075107
2,23.28654428,24.04196264,23.78899359,24.03927037,23.47866164,22.85102675,23.88843559,22.84204383,5.98513968,11.89559454,3.860608889,2.945598814,75.43075107
3,23.34467794,24.07653875,23.87585752,23.99731335,23.4790871,22.84951905,23.88874221,22.84239834,12.63806842,10.17709178,8.701548064,2.945598814,32.55986211
4,23.26268028,23.91203148,23.88173042,23.91611759,23.49574473,22.83737136,23.92865217,22.8228858,12.10211429,11.93966033,4.303362636,3.058668951,19.51589225
5,23.1516479,23.94369206,23.92081666,23.87051193,23.49925543,22.82046226,23.96678652,22.79732511,11.69627375,8.872110896,7.715373957,3.083522231,74.03520091
6,23.15260141,23.87754893,23.91115702,24.03137736,23.50007886,22.81458831,23.94456865,22.78874049,7.097580735,11.89559454,6.227427154,2.945598814,75.43075107
7,23.17157442,23.90470581,23.82546679,24.01175251,23.49139455,22.81001344,23.90736684,22.78398778,8.696078439,15.55577748,11.24335347,3.175471175,75.43075107
8,23.1653781,24.02000715,23.88425695,23.90824763,23.55423238,22.80808839,23.95239448,22.78029513,5.909421285,8.235411605,6.221921451,3.175471175,75.43075107
9,23.46605157,24.06424852,23.84919302,24.04388698,23.69400196,22.87540568,23.92501322,22.85673666,7.924889558,7.91631163,5.343610667,3.175471175,42.04964429
10,23.50928538,23.99142321,23.88007717,24.13291674,23.70934911,22.96106927,23.96701437,22.9457982,8.396146747,4.575228669,6.510118798,3.175471175,75.43075107
11,23.46185123,23.9303339,23.90336821,24.10483208,23.71770069,23.00188012,23.99601034,22.98564495,6.354525609,8.235411605,3.145206069,3.175471175,29.26337077
12,23.48264104,23.94303072,23.93351316,24.06365312,23.75070807,23.04598658,23.95208723,23.03201512,5.943136123,4.575228669,4.375320494,3.175471175,45.55731603
13,23.52864305,23.98536621,23.93923991,24.08880167,23.7582329,23.11203428,23.93075481,23.10204129,8.396146747,4.575228669,8.97339744,3.175471175,75.43075107
14,23.47802467,23.93215335,23.9532997,23.96205077,23.71315996,23.14041345,24.0163581,23.12305977,10.96243705,8.235411605,5.840384982,3.129496703,75.43075107
15,23.50456757,24.07888201,23.96423419,23.94573892,23.73222316,23.16342808,23.97360174,23.1471188,5.265622261,8.207799947,5.778731325,3.175471175,75.33970565
16,23.53560248,24.12421725,23.88725637,23.90459854,23.71001669,23.18176904,23.96151537,23.16556601,5.036362282,8.235411605,4.294491621,2.945598814,51.93987568
