,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp,m,rh
7021,7021,-0.5,325.33333333333337,5775.782171420556,24.88837536492109,24.12770099510871,24.32799839384536,23.27857021886645,23.192110231914825,24.890000000000004,4.289381667576281,132458.79226834598
7022,7022,-0.45,340.5,5775.782171420556,24.57119391382091,24.768857543282298,23.00032042176747,23.38623197732347,23.222729708061753,24.570000000000004,4.320476182734071,66208.76539124797
7023,7023,-0.4,355.66666666666663,5301.867167355533,23.707709837403737,24.17230405018399,23.495110371253425,23.150970642365287,23.232052376028925,23.640000000000004,5.528189676915622,38580.415341831096
7024,7024,-0.3499999999999999,370.83333333333326,5301.867167355533,24.59755807757201,24.17982823472796,23.11956917750127,23.335624011628923,23.15332791364893,24.72,7.294214638449413,117840.66169665007
7025,7025,-0.3,386.0,5301.867167355533,24.897440480553797,24.82985682766957,23.88730338286231,23.36987426989632,23.17818903731117,24.9,5.299277239353947,190404.82540292648
7026,7026,-0.25,389.5,5301.867167355533,24.88021997027909,24.217982704628838,24.250903067070308,23.570525602345448,23.245210831206226,24.88,3.197405678730213,77030.22410880358
7027,7027,-0.2,393.0,5301.867167355533,23.634637095276407,24.070908628703517,23.382491814678332,23.76789306679068,23.334389746367197,23.480000000000004,7.97231364191491,25524.675431239764
7028,7028,-0.15,396.5,5301.867167355533,23.042789821735873,24.648641004167253,23.722722459949107,23.531784854761554,23.301999450404164,23.0,6.528806951510386,47567.89913072662
7029,7029,-0.09999999999999998,400.0,5301.867167355533,24.335379600538683,24.62022774841755,23.058031136383292,23.187581212864288,23.262915872594014,24.61000000000001,8.177535779039722,223515.13159622028
7030,7030,-0.05000000000000002,403.5,5301.867167355533,23.38651514341074,24.93896489361617,23.583429520710077,23.020732456735807,23.16762096137865,23.23,8.320538800126185,24240.688127316123
7031,7031,0.0,407.0,5301.867167355533,24.599564923979397,23.311695897204608,24.455908316798922,23.19056663176508,23.154265014105768,24.99000000000001,9.38957380414983,142277.52466947088
7032,7032,0.09166666666666667,410.5,5301.867167355533,24.92042232024957,24.19288594110459,24.745832880370436,23.386909976264462,23.186597423056988,24.93,6.625932442044648,199128.82663863094
7033,7033,0.18333333333333332,414.0,5301.867167355533,23.650611877577834,24.86566456375077,24.477648230081574,23.47162632721359,23.299224805392523,23.480000000000004,8.701650796541848,28678.759191879068
7034,7034,0.275,417.5,5301.867167355533,24.674020951566014,24.94985589931355,24.340914257303826,23.136002489586268,23.31971985187419,25.0,8.9740540123742,140625.3261245106
7035,7035,0.3666666666666667,421.0,5301.867167355533,23.882468438394927,24.121395368298536,23.456576893209373,23.348540222273606,23.30931185154732,23.87000000000002,5.855755772672298,46446.932759023985
7036,7036,0.4583333333333334,424.5,5301.867167355533,24.14788631827224,23.152131836945,23.961097786413532,23.439085376448784,23.293206008872264,24.15,3.40515677433639,76331.78589911027
7037,7037,0.55,428.0,5301.867167355533,23.561945495324487,23.660915130719395,24.411499345072368,23.63131849149749,23.33183191031732,23.54,5.619343516534434,48904.285404922186
7038,7038,0.6416666666666667,408.5,5301.867167355533,24.536916759173174,24.241797930114764,23.22305121502552,23.708189960091143,23.35120452335055,24.68999999999999,9.191745489904966,139946.3128848736
7039,7039,0.7333333333333334,389.0,5301.867167355533,23.596546026014238,24.769492535031233,23.001041391719717,23.69002127024707,23.31933675279641,23.47,7.042290984763778,19812.959485251355
