,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
0,0,-2.291666666666667,0.0,0.0,20.188175524218046,22.282268270259838,22.05548152648644,21.809336303406372,21.698100970233146,20.553385967483877,146.79410273208543,20.100488632042765
1,1,-1.7833333333333337,0.0,0.0,20.82191262143497,23.99900678791129,23.32849253092018,23.42198399261632,22.7223785949228,20.820424202333843,146.73825642376997,20.648213324619626
2,2,-1.2749999999999997,0.0,0.0,21.02507401881037,23.964069430135197,23.247679451613827,23.373267561435643,22.65355821498717,20.867924893933328,146.0399630086153,20.86167260421492
3,3,-0.7666666666666668,0.0,0.0,21.20623391434604,24.022965615859434,23.229084813087894,23.43916959546718,22.60019770656621,20.914060574131426,146.79410273208543,21.148715450625865
4,4,-0.2583333333333331,0.0,0.0,21.33250936803049,24.05642564005701,23.36800050099981,23.717259308264012,22.672249754789586,20.975097487884465,146.79410273208543,21.20623391434604
5,5,0.25,0.0,0.0,21.41678223688488,24.07795055949061,23.487847242176656,23.945735635725928,22.750512768879904,21.028841758016068,146.7941027320854,21.33250936803049
6,6,0.7583333333333335,0.0,0.0,21.483609814130762,24.15134385970963,23.541894523167905,24.051986761109127,22.78941553579676,21.06487385184776,146.79410273208543,21.41678223688488
7,7,1.2666666666666664,0.0,0.0,21.506476016888925,24.09052198964901,23.53982758893849,24.05998147943113,22.790558014416064,21.065521407746196,146.5550868919055,21.486713687922038
8,8,1.7749999999999997,0.0,0.0,21.554628849414982,24.13834829027472,23.571092689459967,24.129252215913873,22.8131066251968,21.083571182743626,146.6151603862263,21.526571834815908
9,9,2.2833333333333337,0.0,0.0,21.559623129887328,24.24748907291236,23.60018831202219,24.11054298844833,22.831218545529037,21.095594854764254,142.74781765805028,21.55768443336535
10,10,2.791666666666667,0.0,0.0,21.57554877501046,24.12098333729361,23.628397352304074,24.18634337550656,22.858883946747483,21.10467453151771,146.21251817290863,21.563281038413745
11,11,3.3,0.0,0.0,21.60710655956616,24.310241537233928,23.658754078911137,24.268474406374988,22.88860515019785,21.113412692204136,145.41776207722705,21.589466515804826
12,12,3.208333333333333,0.0,0.0,21.596648920663036,24.222076774198605,23.67448501601073,24.173891688483664,22.895172620831122,21.1176119730687,142.32643571653819,21.602356205932523
13,13,3.1166666666666667,0.0,0.0,21.61226553467373,24.355213235309787,23.696339773073174,24.22190660205536,22.91097944279677,21.125371840034003,146.79410273208543,21.59569198902717
