,option1,option3-1,option3-2,option3-3,option3-4,option3-5,option4-1,option4-2,m1,m2,m3,m4,m5
0,23.24798874,23.83392517,23.83714381,24.12258144,23.61599276,22.85617041,23.91601852,22.86029438,7.509000426,5.408024154,7.851379853,3.106896602,75.43075107
1,23.27323845,23.99856017,23.79921266,24.10647598,23.5582299,22.88400965,23.89344495,22.8904393,4.992360319,6.342606885,10.1158439,2.945598814,75.43075107
2,23.31205408,24.05275756,23.87653848,24.00322022,23.55220393,22.91941665,23.87783712,22.90988019,5.98513968,11.89559454,3.860608889,2.945598814,75.43075107
3,23.22920465,23.88237229,23.8606303,23.88938115,23.44894224,22.86345775,23.90628408,22.86949001,12.63806842,10.17709178,8.701548064,2.945598814,32.55986211
4,23.16054181,23.91202051,23.90479214,23.84951912,23.44307781,22.8004141,23.94711419,22.82385193,12.10211429,11.93966033,4.303362636,3.058668951,19.51589225
5,23.21354011,23.85730308,23.92372122,24.02894766,23.51749449,22.78470146,23.9453955,22.82792634,11.69627375,8.872110896,7.715373957,3.083522231,74.03520091
6,23.23682711,23.89526715,23.83765031,24.017851,23.52448023,22.78148533,23.90662273,22.8409579,7.097580735,11.89559454,6.227427154,2.945598814,75.43075107
7,23.20963922,24.01748406,23.88678632,23.92314773,23.56453924,22.76764535,23.95093738,22.82468739,8.696078439,15.55577748,11.24335347,3.175471175,75.43075107
8,23.4827552,24.04397367,23.84678447,24.01718879,23.71362015,22.81726926,23.91182927,22.93569646,5.909421285,8.235411605,6.221921451,3.175471175,75.43075107
9,23.49819856,23.9766726,23.88283414,24.11697445,23.74593799,22.91356274,23.95791423,23.02894629,7.924889558,7.91631163,5.343610667,3.175471175,42.04964429
10,23.46564995,23.91148432,23.89789431,24.09647255,23.7103694,22.90803819,23.97992116,23.04266119,8.396146747,4.575228669,6.510118798,3.175471175,75.43075107
11,23.52600699,23.89898486,23.92836889,24.02256037,23.74769884,22.92882395,23.93246529,23.0983853,6.354525609,8.235411605,3.145206069,3.175471175,29.26337077
12,23.5742472,23.97245377,23.96174943,24.08425915,23.82703889,23.02462534,23.9456839,23.18415547,5.943136123,4.575228669,4.375320494,3.175471175,45.55731603
13,23.53029845,23.91639198,23.95183792,23.96186399,23.68537388,22.98689192,24.01160912,23.16774761,8.396146747,4.575228669,8.97339744,3.175471175,75.43075107
14,23.59292714,24.05644916,23.96792396,23.94763122,23.74319354,22.98781306,23.96810477,23.18986053,10.96243705,8.235411605,5.840384982,3.129496703,75.43075107
15,23.64886341,24.09701747,23.89054186,23.89106248,23.73184632,22.99855996,23.95613933,23.24572701,5.265622261,8.207799947,5.778731325,3.175471175,75.33970565
16,23.66291615,24.10781452,23.89704496,23.88285405,23.68048789,23.08231456,23.9983487,23.32285567,5.036362282,8.235411605,4.294491621,2.945598814,51.93987568
17,23.58344018,24.02219843,23.94679621,23.86206104,23.67564317,23.04192543,24.0166056,23.29812495,9.873234265,8.970245546,3.659297731,3.175471175,74.83652893
18,23.67416127,23.93721717,23.93571727,24.06461946,23.76589078,23.05151255,23.94043902,23.34414185,8.31095628,5.907815173,8.120093377,3.175471175,75.1552255
19,23.70208863,24.10312017,23.98657275,24.05704166,23.83762281,23.15894919,23.94259514,23.4187111,13.23576985,8.608846317,5.661370924,3.16634126,46.21485749
20,23.61710587,24.08212772,23.91151203,23.954149,23.73797756,23.15420904,23.95846371,23.40237628,7.764681157,8.173391543,6.556608547,3.175471175,75.22624894
21,23.53042765,23.9747767,23.91150159,23.90327782,23.69334512,23.16069155,23.99190946,23.37562169,10.81490216,5.024964401,4.289381668,3.135721697,41.23128167
22,23.51820293,23.91741333,23.97779163,23.88520305,23.66323502,23.11832535,23.97412795,23.34404982,4.664525971,8.340710608,4.320476183,3.175471175,75.43075107
23,23.59282423,24.08099396,23.97000179,24.00513876,23.73696215,23.22992733,23.96755984,23.41575518,11.79899153,6.12509863,5.528189677,3.175471175,51.76397211
24,23.59944826,24.12017497,23.94834617,23.91598611,23.7256532,23.23553527,23.93265551,23.41433324,8.017251044,4.575228669,7.294214638,3.175471175,75.43075107
25,23.53201769,24.10834846,23.96338729,23.87855427,23.66938949,23.24291878,23.9850518,23.39068705,6.298882237,9.150457339,5.299277239,3.175471175,33.77215207
26,23.54475052,24.05039536,23.94984123,23.83586636,23.56911147,23.19283839,23.97393927,23.35204047,8.009688328,6.549410985,3.197405679,2.945598814,63.3618309
27,23.66454126,24.08741188,23.93992326,23.97099666,23.70853062,23.22403877,23.89359095,23.4014784,10.14437903,4.575228669,7.972313642,3.129496703,75.43075107
28,23.65624912,24.07896482,23.95377203,24.07748359,23.76463424,23.2986423,23.95031533,23.44779353,6.480524209,9.150457339,6.528806952,3.175471175,38.6283851
29,23.61211365,23.95385771,23.99844583,23.98177188,23.73295622,23.35097807,23.99734019,23.46773272,12.43167214,4.575228669,8.177535779,3.175471175,52.80366993
30,23.5524185,23.94653615,24.00929004,24.11525669,23.72122527,23.3983755,24.00322279,23.45960311,4.939733164,4.575228669,8.3205388,3.175471175,46.01108757
31,23.56197174,24.11271614,23.91088097,23.97860233,23.73124533,23.38408526,23.96391868,23.43257791,13.85402735,8.421292712,9.389573804,3.175471175,75.43075107
32,23.49658833,24.05455408,23.91881257,23.9198136,23.67282887,23.33480335,23.99088242,23.36921053,6.434829576,5.569153626,6.625932442,3.175471175,75.43075107
