DischargeAirTemperature,times
76.6813354492,2017-06-01 02:21:00
76.7072753906,2017-06-01 02:22:00
76.6813354492,2017-06-01 02:23:00
76.6813354492,2017-06-01 02:24:00
76.6813354492,2017-06-01 02:25:00
76.6813354492,2017-06-01 02:26:00
76.6294555664,2017-06-01 02:27:00
76.6813354492,2017-06-01 02:28:00
76.6813354492,2017-06-01 02:29:00
76.6813354492,2017-06-01 02:30:00
76.6813354492,2017-06-01 02:31:00
76.7072753906,2017-06-01 02:32:00
76.6813354492,2017-06-01 02:33:00
76.6813354492,2017-06-01 02:34:00
76.6813354492,2017-06-01 02:35:00
76.6813354492,2017-06-01 02:36:00
76.6813354492,2017-06-01 02:37:00
76.7072753906,2017-06-01 02:38:00
76.7072753906,2017-06-01 02:39:00
76.7072753906,2017-06-01 02:40:00
76.6813354492,2017-06-01 02:41:00
76.7592163086,2017-06-01 02:42:00
76.7072753906,2017-06-01 02:43:00
76.7592163086,2017-06-01 02:44:00
76.7072753906,2017-06-01 02:45:00
76.7072753906,2017-06-01 02:46:00
76.7592163086,2017-06-01 02:47:00
76.7072753906,2017-06-01 02:48:00
76.7592163086,2017-06-01 02:49:00
76.7592163086,2017-06-01 02:50:00
76.7072753906,2017-06-01 02:51:00
76.7072753906,2017-06-01 02:52:00
76.7072753906,2017-06-01 02:53:00
76.6813354492,2017-06-01 02:54:00
76.7072753906,2017-06-01 02:55:00
76.7072753906,2017-06-01 02:56:00
76.7072753906,2017-06-01 02:57:00
76.6813354492,2017-06-01 02:58:00
76.6813354492,2017-06-01 02:59:00
76.6813354492,2017-06-01 03:00:00
76.6294555664,2017-06-01 03:01:00
76.6813354492,2017-06-01 03:02:00
76.6813354492,2017-06-01 03:03:00
76.6813354492,2017-06-01 03:04:00
76.6813354492,2017-06-01 03:05:00
76.6813354492,2017-06-01 03:06:00
76.6294555664,2017-06-01 03:07:00
76.577545166,2017-06-01 03:08:00
76.577545166,2017-06-01 03:09:00
76.577545166,2017-06-01 03:10:00
76.577545166,2017-06-01 03:11:00
76.577545166,2017-06-01 03:12:00
76.577545166,2017-06-01 03:13:00
76.5256652832,2017-06-01 03:14:00
76.5256652832,2017-06-01 03:15:00
76.5256652832,2017-06-01 03:16:00
76.5256652832,2017-06-01 03:17:00
76.577545166,2017-06-01 03:18:00
76.5256652832,2017-06-01 03:19:00
76.5256652832,2017-06-01 03:20:00
76.4737548828,2017-06-01 03:21:00
76.4737548828,2017-06-01 03:22:00
76.4737548828,2017-06-01 03:23:00
76.4737548828,2017-06-01 03:24:00
76.421875,2017-06-01 03:25:00
76.4737548828,2017-06-01 03:26:00
76.421875,2017-06-01 03:27:00
76.421875,2017-06-01 03:28:00
76.3699645996,2017-06-01 03:29:00
76.421875,2017-06-01 03:30:00
76.3699645996,2017-06-01 03:31:00
76.3180541992,2017-06-01 03:32:00
76.421875,2017-06-01 03:33:00
76.3699645996,2017-06-01 03:34:00
76.421875,2017-06-01 03:35:00
76.4737548828,2017-06-01 03:36:00
76.421875,2017-06-01 03:37:00
76.4737548828,2017-06-01 03:38:00
76.4737548828,2017-06-01 03:39:00
76.4737548828,2017-06-01 03:40:00
76.5256652832,2017-06-01 03:41:00
76.4737548828,2017-06-01 03:42:00
76.4737548828,2017-06-01 03:43:00
76.4737548828,2017-06-01 03:44:00
76.4737548828,2017-06-01 03:45:00
76.4737548828,2017-06-01 03:46:00
76.4737548828,2017-06-01 03:47:00
76.4737548828,2017-06-01 03:48:00
76.4737548828,2017-06-01 03:49:00
76.4737548828,2017-06-01 03:50:00
76.4737548828,2017-06-01 03:51:00
76.4737548828,2017-06-01 03:52:00
76.421875,2017-06-01 03:53:00
76.4737548828,2017-06-01 03:54:00
76.4737548828,2017-06-01 03:55:00
76.4737548828,2017-06-01 03:56:00
76.4737548828,2017-06-01 03:57:00
76.4737548828,2017-06-01 03:58:00
76.4737548828,2017-06-01 03:59:00
76.4737548828,2017-06-01 04:00:00
76.421875,2017-06-01 04:01:00
76.4737548828,2017-06-01 04:02:00
76.421875,2017-06-01 04:03:00
76.421875,2017-06-01 04:04:00
76.4737548828,2017-06-01 04:05:00
76.421875,2017-06-01 04:06:00
76.421875,2017-06-01 04:07:00
76.3699645996,2017-06-01 04:08:00
76.5256652832,2017-06-01 04:09:00
76.3699645996,2017-06-01 04:10:00
76.3699645996,2017-06-01 04:11:00
76.3699645996,2017-06-01 04:12:00
76.3180541992,2017-06-01 04:13:00
76.3699645996,2017-06-01 04:14:00
76.3180541992,2017-06-01 04:15:00
76.3699645996,2017-06-01 04:16:00
76.3180541992,2017-06-01 04:17:00
76.3699645996,2017-06-01 04:18:00
76.3180541992,2017-06-01 04:19:00
76.3180541992,2017-06-01 04:20:00
76.3180541992,2017-06-01 04:21:00
76.2661743164,2017-06-01 04:22:00
76.214263916,2017-06-01 04:23:00
76.214263916,2017-06-01 04:24:00
76.1623840332,2017-06-01 04:25:00
76.1104736328,2017-06-01 04:26:00
76.1623840332,2017-06-01 04:27:00
76.1623840332,2017-06-01 04:28:00
76.1623840332,2017-06-01 04:29:00
76.1104736328,2017-06-01 04:30:00
76.1623840332,2017-06-01 04:31:00
76.1104736328,2017-06-01 04:32:00
76.05859375,2017-06-01 04:33:00
76.05859375,2017-06-01 04:34:00
76.05859375,2017-06-01 04:35:00
76.05859375,2017-06-01 04:36:00
76.05859375,2017-06-01 04:37:00
76.05859375,2017-06-01 04:38:00
76.05859375,2017-06-01 04:39:00
76.0066833496,2017-06-01 04:40:00
76.0066833496,2017-06-01 04:41:00
75.9548034668,2017-06-01 04:42:00
75.9548034668,2017-06-01 04:43:00
75.9548034668,2017-06-01 04:44:00
75.9548034668,2017-06-01 04:45:00
75.9028930664,2017-06-01 04:46:00
75.9028930664,2017-06-01 04:47:00
75.8510131836,2017-06-01 04:48:00
75.8510131836,2017-06-01 04:49:00
75.7991027832,2017-06-01 04:50:00
75.7991027832,2017-06-01 04:51:00
75.7991027832,2017-06-01 04:52:00
75.7991027832,2017-06-01 04:53:00
75.7471923828,2017-06-01 04:54:00
75.7471923828,2017-06-01 04:55:00
75.6952819824,2017-06-01 04:56:00
75.7471923828,2017-06-01 04:57:00
75.6952819824,2017-06-01 04:58:00
75.5914916992,2017-06-01 04:59:00
75.643371582,2017-06-01 05:00:00
75.643371582,2017-06-01 05:01:00
75.643371582,2017-06-01 05:02:00
75.5914916992,2017-06-01 05:03:00
75.5914916992,2017-06-01 05:04:00
75.5395812988,2017-06-01 05:05:00
75.5395812988,2017-06-01 05:06:00
75.5395812988,2017-06-01 05:07:00
75.5395812988,2017-06-01 05:08:00
75.5395812988,2017-06-01 05:09:00
75.5136413574,2017-06-01 05:10:00
75.5136413574,2017-06-01 05:11:00
75.5136413574,2017-06-01 05:12:00
75.5136413574,2017-06-01 05:13:00
75.4617614746,2017-06-01 05:14:00
75.3579711914,2017-06-01 05:15:00
75.4617614746,2017-06-01 05:16:00
75.4617614746,2017-06-01 05:17:00
75.4098510742,2017-06-01 05:18:00
75.4098510742,2017-06-01 05:19:00
75.4098510742,2017-06-01 05:20:00
75.4098510742,2017-06-01 05:21:00
75.4098510742,2017-06-01 05:22:00
75.3579711914,2017-06-01 05:23:00
75.4098510742,2017-06-01 05:24:00
75.2541809082,2017-06-01 05:25:00
75.2541809082,2017-06-01 05:26:00
75.2022705078,2017-06-01 05:27:00
75.2022705078,2017-06-01 05:28:00
75.150390625,2017-06-01 05:29:00
75.0466003418,2017-06-01 05:30:00
74.9946899414,2017-06-01 05:31:00
74.8908996582,2017-06-01 05:32:00
74.9428100586,2017-06-01 05:33:00
74.8908996582,2017-06-01 05:34:00
74.8390197754,2017-06-01 05:35:00
74.8390197754,2017-06-01 05:36:00
74.787109375,2017-06-01 05:37:00
74.787109375,2017-06-01 05:38:00
74.787109375,2017-06-01 05:39:00
74.7351989746,2017-06-01 05:40:00
74.6832885742,2017-06-01 05:41:00
74.6832885742,2017-06-01 05:42:00
74.6832885742,2017-06-01 05:43:00
74.579498291,2017-06-01 05:44:00
74.6313781738,2017-06-01 05:45:00
74.5275878906,2017-06-01 05:46:00
74.5275878906,2017-06-01 05:47:00
74.5275878906,2017-06-01 05:48:00
74.4237976074,2017-06-01 05:49:00
74.5275878906,2017-06-01 05:50:00
74.4237976074,2017-06-01 05:51:00
74.4237976074,2017-06-01 05:52:00
74.4237976074,2017-06-01 05:53:00
74.397857666,2017-06-01 05:54:00
74.397857666,2017-06-01 05:55:00
74.3459472656,2017-06-01 05:56:00
74.397857666,2017-06-01 05:57:00
74.397857666,2017-06-01 05:58:00
74.4237976074,2017-06-01 05:59:00
74.3459472656,2017-06-01 06:00:00
74.3459472656,2017-06-01 06:01:00
74.3459472656,2017-06-01 06:02:00
74.3459472656,2017-06-01 06:03:00
