,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
7000,7000,-1.9916666666666667,42.16666666666666,2258.0315957652397,24.960665739156074,24.96165321360393,24.959564268622756,24.96033567477369,24.05785275216973,24.96,4.664525970532906,94898.38182668084
7001,7001,-1.95,46.0,2258.0315957652397,24.959928201183853,24.958528466815448,24.960661296434907,24.95961034890533,24.046405355500045,24.96,4.664525970532906,103004.22184802813
7002,7002,-1.9083333333333328,59.16666666666667,2258.0315957652397,24.950724540391594,24.950700653183407,24.95141453173451,24.95049514679493,24.03466463706345,24.95,4.664525970532906,93585.42200534775
7003,7003,-1.8666666666666667,72.33333333333333,2100.0598054341594,24.940727973846503,24.941006590671762,24.93984767556037,24.94029607783024,24.022438862048112,24.94,4.664525970532906,94897.09121390124
7004,7004,-1.825,85.5,2100.0598054341594,24.9386683306705,24.938597023074546,24.939802396143264,24.940059888770108,24.009622850807872,24.94,4.664525970532906,98728.27717363824
7005,7005,-1.7833333333333337,98.66666666666666,1942.0880151030785,24.92880886229765,24.92844411709913,24.929166208391123,24.930692606611064,23.99665670715993,24.93,4.664525970532906,89534.8621899816
7006,7006,-1.7416666666666665,111.83333333333331,1784.1162247719974,24.920019759405502,24.9212338344812,24.92055059269475,24.919937435095644,23.98350895599717,24.92,4.664525970532906,90902.34118076674
7007,7007,-1.7,125.0,1784.1162247719974,24.91067310752869,24.910100119856555,24.912048816186427,24.91030310390545,23.970034096028897,24.91,4.664525970532906,89533.22020154554
7008,7008,-1.6083333333333332,138.16666666666669,5302.013091831181,24.89999325387861,24.90126524066671,24.90208525371417,24.900277959847283,23.96584628835025,24.9,4.664525970532906,0.0
7009,7009,-1.5166666666666668,151.33333333333334,5302.01309183118,24.890004654304274,24.89115593112365,24.891393761781913,24.89027229193285,23.969595195803727,24.89,4.664525970532906,0.0
7010,7010,-1.425,164.5,5302.01309183118,24.879905798457862,24.880830171295766,24.881359460590296,24.8802560929752,23.97545437410432,24.88,4.664525970532906,0.0
7011,7011,-1.3333333333333337,177.66666666666669,5302.01309183118,24.870397704001018,24.872201364016078,24.87203419272457,24.87023860862695,23.980467508819427,24.87,4.664525970532906,0.0
7012,7012,-1.2416666666666665,190.8333333333333,5302.01309183118,24.85983079096567,24.86316003621501,24.860624390570177,24.8602234880637,23.984271255778236,24.86,4.664525970532906,0.0
7013,7013,-1.15,204.0,5302.01309183118,24.85100222640248,24.8500941092959,24.851831267584014,24.85021169357215,23.98733573421173,24.85,4.664525970532906,0.0
7014,7014,-1.0583333333333331,219.16666666666669,5302.01309183118,24.842057546492796,24.842840245510587,24.842716137181306,24.84020239362562,23.99010985438882,24.84,4.664525970532906,0.0
7015,7015,-0.9666666666666668,234.33333333333337,5302.013091831181,24.8317994416252,24.833300247161908,24.832715113197022,24.830194915658122,23.99290232410993,24.83,4.664525970532906,0.0
7016,7016,-0.875,249.5,5302.01309183118,24.81031709956638,24.81047184259209,24.810677745650374,24.810037048963594,23.99554412863368,24.809999999999967,4.6645259705329005,0.0
7017,7017,-0.7833333333333332,264.66666666666663,5302.01309183118,24.800200096326776,24.8005944965588,24.800483456013907,24.79997265866446,23.995864639702287,24.799999999999965,4.6645259705329005,0.0
7018,7018,-0.6916666666666667,279.83333333333337,5302.01309183118,24.79011492049818,24.790310571237175,24.790263540891427,24.789966226936894,23.996988505253306,24.789999999999967,4.6645259705329005,0.0
7019,7019,-0.6,295.0,5302.01309183118,24.770388057149855,24.77029076169377,24.770090888785987,24.770023017810196,23.99955289615196,24.769999999999968,4.6645259705329005,0.0
7020,7020,-0.5499999999999999,310.16666666666663,5302.01309183118,24.759983111825967,24.76051694788267,24.76011359949547,24.75996247596456,23.9974752779041,24.76000000000001,4.664525970532906,0.0
7021,7021,-0.5,325.33333333333337,5302.01309183118,24.75041966292909,24.7502220963734,24.75042617517715,24.74995958730824,23.99263668018675,24.74999999999999,4.664525970532903,0.0
7022,7022,-0.45,340.5,5302.013091831181,24.730543276441285,24.73078774784832,24.730142575369026,24.730114466583085,23.99116380308592,24.73,4.664525970532906,0.0
7023,7023,-0.4,355.66666666666663,5302.01309183118,24.720030609668022,24.71984322574084,24.72118696073052,24.7199809246722,23.98081129440895,24.72000000000001,4.6645259705329085,0.0
7024,7024,-0.3499999999999999,370.83333333333326,5302.013091831181,24.70076625076868,24.701371374223644,24.700762149256768,24.700099244564015,23.971680711844172,24.7,4.664525970532906,0.0
7025,7025,-0.3,386.0,5302.01309183118,24.68053620751433,24.681100094596147,24.68120867071468,24.68010383916362,23.96136914498659,24.68,4.664525970532906,0.0
7026,7026,-0.25,389.5,5302.013091831181,24.669855338088297,24.67060721223609,24.67118719862764,24.66996821838384,23.94853729253867,24.67,4.664525970532906,0.0
7027,7027,-0.2,393.0,5302.01309183118,24.650469110775127,24.6511386101359,24.651394887842738,24.65009922991,23.937233909628443,24.65,4.664525970532906,0.0
7028,7028,-0.15,396.5,5302.01309183118,24.6404871134838,24.64004097900481,24.64043414130878,24.63996434066735,23.924439498886137,24.64,4.664525970532906,0.0
7029,7029,-0.09999999999999998,400.0,5302.01309183118,24.62040066837913,24.62048329757236,24.62170352448389,24.62009789612538,23.91353241405971,24.62,4.664525970532906,0.0
7030,7030,-0.05000000000000002,403.5,5302.01309183118,24.601244304815136,24.603651545954843,24.601445571568647,24.600610153501805,23.90339181137189,24.6,4.664525970532906,0.0
7031,7031,0.0,407.0,5302.013091831181,24.580869274601678,24.58078231791113,24.583633406695643,24.580644584742444,23.89291345703257,24.58,4.664525970532906,0.0
