,Unnamed: 0,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
7000,7000,20.6,166.08333333333337,23841.037691384663,23.636623104944807,23.82565754715396,24.920000000000023,24.920000000000023,24.920000000000023,24.920000000000023,24.920000000000023,24.920000000000023,93.44189488098922,622859.0203760598
7001,7001,20.6,176.0,23841.037691384667,23.630062837171828,23.872661439617,24.920000000000023,24.920000000000023,24.920000000000023,24.920000000000023,24.920000000000023,24.920000000000023,93.00288917919352,544253.6460611776
7002,7002,20.6,177.83333333333337,23841.037691384663,23.20050146373855,23.931770256257483,23.04,23.04,23.04,23.04,23.04,23.04,77.72912548887052,32876.0956614193
7003,7003,20.6,179.66666666666663,23841.037691384667,23.05165867016167,23.85146533885822,23.04,23.04,23.04,23.04,23.04,23.04,64.268426358808,38922.40967860625
7004,7004,20.6,181.5,23841.037691384667,23.040092080839557,23.82166489672729,23.04,23.04,23.04,23.04,23.04,23.04,54.1818270380303,187.17503344370135
7005,7005,20.6,183.33333333333331,23841.037691384667,23.676024860694362,23.735261264454852,24.71,24.71,24.71,24.71,24.71,24.71,119.15156598802321,959407.4290248137
7006,7006,20.6,185.16666666666663,23841.037691384667,23.55226308647232,23.775295920226274,24.71,24.71,24.71,24.71,24.71,24.71,97.71133154070678,657793.8933020658
7007,7007,20.6,187.0,23841.037691384667,23.520435429669394,23.78695261337143,24.709999999999965,24.709999999999965,24.709999999999965,24.709999999999965,24.709999999999965,24.709999999999965,93.0028891791933,532207.5684657914
7008,7008,20.6,188.83333333333331,70956.68812565469,23.661259439117647,23.82216894988901,24.22,24.22,24.22,24.22,24.22,24.22,101.453834661585,446102.71000704326
7009,7009,20.6,190.66666666666663,70956.68812565469,23.82228106075608,23.87047491548048,24.22,24.22,24.22,24.22,24.22,24.22,93.00288917919345,484462.6044902713
7010,7010,20.6,192.5,70956.68812565469,23.910404493192267,23.914879726441,24.22,24.22,24.22,24.22,24.22,24.22,94.99786853364681,425165.61042227974
7011,7011,20.6,194.33333333333331,70956.68812565469,24.125977718608933,24.011076312515673,24.65,24.65,24.65,24.65,24.65,24.65,95.9688469058972,465700.29293844604
7012,7012,20.6,196.16666666666663,70956.68812565469,24.194223125151424,24.113759651006077,24.65,24.65,24.65,24.65,24.65,24.65,95.14915345561512,428988.4190170504
7013,7013,20.6,198.0,70956.68812565469,24.21017760061955,24.18966175079316,24.65,24.65,24.65,24.65,24.65,24.65,93.00288917919345,473238.36529937404
7014,7014,20.6,206.75,70956.68812565469,23.481189682942485,24.166410499774752,23.28,23.28,23.28,23.28,23.28,23.28,100.30489324322521,31878.047518376712
7015,7015,20.6,215.5,70956.68812565469,23.300596224918557,24.038974825379054,23.28,23.28,23.28,23.28,23.28,23.28,81.22098434356333,15480.246499620025
7016,7016,20.6,224.25,70956.68812565469,23.28009567653093,23.95293289187307,23.28,23.28,23.28,23.28,23.28,23.28,79.84805826980877,0.0
7017,7017,20.6,233.0,70956.68812565469,23.820346356160588,23.8914787459487,24.33,24.33,24.33,24.33,24.33,24.33,113.00332368632736,815201.5682587607
7018,7018,20.6,241.75,70956.68812565469,23.875429796991487,23.93290039679534,24.329999999999966,24.329999999999966,24.329999999999966,24.329999999999966,24.329999999999966,24.329999999999966,97.01922131797724,461501.88863352005
7019,7019,20.6,250.5,70956.68812565469,23.962267130220877,23.976874540905513,24.33,24.33,24.33,24.33,24.33,24.33,94.09965562215342,433328.6448882395
7020,7020,20.6,259.25,70956.68812565469,24.23440143921769,24.06423094568897,24.33,24.33,24.33,24.33,24.33,24.33,64.64729968716438,290220.8407762367
7021,7021,20.6,268.0,70956.68812565469,24.32997178950974,24.17359678520736,24.33,24.33,24.33,24.33,24.33,24.33,49.13603509809171,13323.601834522111
7022,7022,20.6,276.75,70956.68812565469,24.329928652655425,24.26204111632285,24.33,24.33,24.33,24.33,24.33,24.33,48.1742471897364,13464.951060522837
7023,7023,20.6,285.5,70956.68812565469,24.43626149534862,24.28637634414547,24.93,24.93,24.93,24.93,24.93,24.93,98.38415317261715,481487.6823487435
7024,7024,20.6,294.25,70956.68812565469,24.39866871501934,24.331177708564443,24.93,24.93,24.93,24.93,24.93,24.93,96.88936020092028,419752.3443513332
7025,7025,20.6,303.0,70956.68812565469,24.361175930106413,24.370105932843558,24.93,24.93,24.93,24.93,24.93,24.93,93.00288917919345,471432.78371710976
7026,7026,20.6,305.33333333333337,70956.68812565469,23.59692609897501,24.32903181325349,23.33,23.33,23.33,23.33,23.33,23.33,105.31820206914702,15492.794768316882
7027,7027,20.6,307.6666666666667,70956.68812565469,23.331396103680444,24.07170010281207,23.33,23.33,23.33,23.33,23.33,23.33,88.23792862922785,0.0
7028,7028,20.6,310.0,70956.68812565469,23.329968190925204,23.99656819699749,23.33,23.33,23.33,23.33,23.33,23.33,85.81864230887867,0.0
7029,7029,20.6,312.3333333333333,70956.68812565469,24.01780983149301,23.96350203525179,24.930000000000003,24.930000000000003,24.930000000000003,24.930000000000003,24.930000000000003,24.930000000000003,115.36370503222496,838420.5687253858
7030,7030,20.6,314.6666666666667,70956.68812565469,24.04964122737251,24.02111421807917,24.929999999999968,24.929999999999968,24.929999999999968,24.929999999999968,24.929999999999968,24.929999999999968,99.0048368655877,537703.138649501
7031,7031,20.6,317.0,70956.68812565469,24.08070662053956,24.067951180559124,24.93,24.93,24.93,24.93,24.93,24.93,93.60568665550306,473965.2772716881
