,tout,s,i,t1,t2,t3,sp0,sp,m,rh
2031,1.7000000000000002,0.0,7252.224314841742,24.299511642579002,24.299377453800023,23.59329859297005,24.3,24.3,15.086150213593266,118830.58732685682
2032,1.6999999999999997,0.0,7252.224314841742,24.319353290535453,24.31789981396939,23.602633094602385,24.32,24.32,15.086150213593266,120799.25573535908
2033,1.7,0.0,7252.224314841742,24.339888963921595,24.3391241412659,23.61166238940971,24.34,24.34,15.086150213593266,123196.68239072389
2034,1.7,0.0,7252.224314841742,24.359673232597718,24.358300398973363,23.620592939471003,24.36,24.36,15.086150213593266,124602.22024142015
2035,1.7000000000000002,0.0,7252.224314841742,24.379793693355236,24.37955728251692,23.624970998715316,24.38,24.38,15.086150213593266,131214.57490058307
2036,1.7,0.0,7252.224314841742,24.399975016318955,24.399744017075356,23.631989217921575,24.399999999999967,24.399999999999967,15.086150213593246,137380.6233841846
2037,1.7,0.0,7252.224314841742,24.41957396456911,24.41879753607402,23.642149827668934,24.42,24.42,15.086150213593266,130855.06389502679
2038,1.6999999999999997,0.0,7252.224314841742,24.43892020985145,24.43831278178458,23.65317127793049,24.44,24.44,15.086150213593266,132973.55717091376
2039,1.7,0.0,7252.224314841742,24.45888876480473,24.45973720257549,23.6635985780348,24.46,24.46,15.086150213593266,135441.8064628853
2040,1.6999999999999997,0.0,7252.224314841742,24.479603080497952,24.478015947335162,23.67202957619623,24.48,24.48,15.086150213593266,137831.791035636
2041,1.7000000000000002,0.0,7252.224314841742,24.499374725801626,24.49868387931803,23.67826639160387,24.5,24.5,15.086150213593266,139384.59001424824
2042,1.7,0.0,7252.224314841742,24.519919417310252,24.51863939805768,23.68295668511229,24.52,24.52,15.086150213593266,142396.28920071863
2043,1.7000000000000002,0.0,7252.224314841742,24.539632338557897,24.539010398751604,23.68688442968227,24.54,24.54,15.086150213593266,143856.210654699
2044,1.6999999999999997,0.0,7252.224314841742,24.550204252025924,24.5492380226115,23.69027206131577,24.55,24.55,15.086150213593266,140906.95195049123
2045,1.7,0.0,7252.224314841742,24.57007065555925,24.569783324480913,23.69192714455414,24.570000000000018,24.570000000000018,15.08615021359328,155443.0544852395
2046,1.7,0.0,7252.224314841742,24.589977204166626,24.589207043672523,23.693502643182587,24.589999999999986,24.589999999999986,15.086150213593257,154728.0571238398
2047,1.7000000000000002,0.0,7252.224314841742,24.609056122087697,24.60884404920638,23.695877194261726,24.61,24.61,15.086150213593266,151390.52747922562
2048,1.7,0.0,7252.224314841742,24.62930426708416,24.62762605743184,23.698668533719076,24.63,24.63,15.086150213593266,154566.89494096956
2049,1.7,0.0,7252.224314841742,24.64011129362636,24.638616712320097,23.70135772936636,24.64,24.64,15.086150213593266,150743.1145980547
2050,1.6999999999999997,0.0,7252.224314841742,24.659324331346944,24.658775121644986,23.703293751170612,24.66,24.66,15.086150213593266,159921.82712688472
2051,1.7,0.0,7252.224314841742,24.669677364682165,24.669990763135225,23.70486173758754,24.67,24.67,15.086150213593266,153317.5618552538
2052,1.7416666666666665,0.0,7252.224314841742,24.689008378969504,24.688053342234408,23.708834500641686,24.69,24.69,15.086150213593266,163262.1183767611
2053,1.7833333333333337,0.0,7252.224314841742,24.709605794500707,24.70937276048208,23.71649496613004,24.71,24.71,15.086150213593266,162719.03981651377
2054,1.825,0.0,7252.224314841742,24.720005680006363,24.720407106301685,23.7274120156299,24.72,24.72,15.086150213593266,159351.9037312571
2055,1.866666666666667,0.0,7252.224314841742,24.739966247094806,24.73977755391415,23.740119507698363,24.74,24.74,15.086150213593266,169443.78125588087
2056,1.9083333333333332,0.0,7252.224314841742,24.74958000607084,24.74810734476128,23.75385279580464,24.75,24.75,15.086150213593266,161617.70797638816
2057,1.95,0.0,7252.224314841742,24.770130525303944,24.769002518349364,23.767687231748123,24.77,24.77,15.086150213593266,173236.06719399264
2058,1.9916666666666667,0.0,7252.224314841742,24.779167337811106,24.77916294553266,23.78194148847945,24.78,24.78,15.086150213593266,164339.3904515757
2059,2.0333333333333337,0.0,7252.224314841742,24.789414892876,24.788519000813373,23.79604435109479,24.79,24.79,15.086150213593266,170416.61975328578
2060,2.075,0.0,7252.224314841742,24.809346017552663,24.810147715627032,23.80978798051343,24.81,24.81,15.086150213593266,175925.2988101221
2061,2.1166666666666667,0.0,7252.224314841742,24.819522505235142,24.820868882421696,23.823912503971282,24.82,24.82,15.086150213593266,169447.14403833437
2062,2.158333333333333,0.0,7252.224314841742,24.829474808456286,24.829622601192575,23.838028391971694,24.83,24.83,15.086150213593266,174147.77962992803
2063,2.2,0.0,7252.224314841742,24.83921063437669,24.839876006604563,23.851674699485567,24.84,24.84,15.086150213593266,174148.3440441836
2064,2.2,0.0,7252.224314841742,24.850304081399933,24.849350920751377,23.861538629360624,24.85,24.85,15.086150213593266,175924.32666941368
2065,2.2,0.0,7252.224314841742,24.86974912747214,24.867847297473343,23.867059213107147,24.87,24.87,15.086150213593266,181730.24690893485
2066,2.2,0.0,7252.224314841742,24.87994726504283,24.879641609666244,23.86987914948657,24.88,24.88,15.086150213593266,175925.63100047415
2067,2.2,0.0,7252.224314841742,24.88956407191104,24.889192336409682,23.87090924885936,24.89,24.89,15.086150213593266,180134.74820099917
2068,2.2,0.0,7252.224314841742,24.900101985127677,24.900134189405417,23.87056489763428,24.9,24.9,15.086150213593266,180939.07326989315
2069,2.2,0.0,7252.224314841742,24.909523231895232,24.91045311224962,23.869258808475625,24.91,24.91,15.086150213593266,180939.447651715
2070,2.2,0.0,7252.224314841742,24.910134246827525,24.91099396165766,23.867118461271247,24.91,24.91,15.086150213593266,176794.0329600518
2071,2.2,0.0,7252.224314841742,24.92019856950897,24.919999966865046,23.864099297727996,24.92,24.92,15.086150213593266,184780.99838825612
2072,2.2,0.0,7252.224314841742,24.92970091706793,24.929327656575058,23.860604917911786,24.93,24.93,15.086150213593266,181731.76156372446
