,Unnamed: 0,tout,s,i,t1,t2,t3,m,tret
7000,7000,-1.9916666666666667,42.16666666666666,0.0,24.05785275216973,24.960741460291423,24.96033567477369,33.787682699169196,24.06849021174245
7001,7001,-1.95,46.0,0.0,24.046405355500045,24.960221061100107,24.95961034890533,33.81905987476117,24.05785275216973
7002,7002,-1.9083333333333328,59.16666666666667,0.0,24.03466463706345,24.95117801823468,24.95049514679493,33.703582938850325,24.046405355500045
7003,7003,-1.8666666666666667,72.33333333333333,0.0,24.022438862048112,24.94062301124192,24.94029607783024,33.69085491895123,24.03466463706345
7004,7004,-1.825,85.5,0.0,24.009622850807872,24.93965154115255,24.940059888770108,33.70212597770885,24.022438862048112
7005,7005,-1.7833333333333337,98.66666666666666,0.0,23.99665670715993,24.929369109260172,24.930692606611064,33.50949901570896,24.009622850807872
7006,7006,-1.7416666666666665,111.83333333333331,0.0,23.98350895599717,24.92026061973416,24.919937435095644,33.52259758307338,23.99665670715993
7007,7007,-1.7,125.0,0.0,23.970034096028897,24.91051347222671,24.91030310390545,33.48140946808599,23.98350895599717
7008,7008,-1.6083333333333332,138.16666666666669,0.0,23.96584628835025,24.90077612048605,24.900277959847283,36.486526192255155,23.970034096028897
7009,7009,-1.5166666666666668,151.33333333333334,0.0,23.969595195803727,24.89082002116653,24.89027229193285,37.78791036790671,23.96584628835025
7010,7010,-1.425,164.5,0.0,23.97545437410432,24.880460315091163,24.8802560929752,38.19036035701386,23.969595195803727
7011,7011,-1.3333333333333337,177.66666666666669,0.0,23.980467508819427,24.87127131848852,24.87023860862695,38.6220756899829,23.97545437410432
7012,7012,-1.2416666666666665,190.8333333333333,0.0,23.984271255778236,24.860967015346613,24.8602234880637,39.02867630588418,23.980467508819427
7013,7013,-1.15,204.0,0.0,23.98733573421173,24.850740688639952,24.85021169357215,39.42613207936589,23.984271255778236
7014,7014,-1.0583333333333331,219.16666666666669,0.0,23.99010985438882,24.842210961164398,24.84020239362562,39.80053386684104,23.98733573421173
7015,7015,-0.9666666666666668,234.33333333333337,0.0,23.99290232410993,24.832186192739506,24.830194915658122,40.17182951568746,23.99010985438882
7016,7016,-0.875,249.5,0.0,23.99554412863368,24.81044499196773,24.810037048963594,41.016704854794966,23.99483639798717
7017,7017,-0.7833333333333332,264.66666666666663,0.0,23.995864639702287,24.800350978938408,24.79997265866446,41.033063584156416,23.99587431909628
7018,7018,-0.6916666666666667,279.83333333333337,0.0,23.996988505253306,24.790285972572278,24.789966226936894,41.364719092749745,23.9966390538166
7019,7019,-0.6,295.0,0.0,23.99955289615196,24.770287851688423,24.770023017810196,42.1296613172042,23.9988647158038
7020,7020,-0.5499999999999999,310.16666666666663,0.0,23.9974752779041,24.76016104404997,24.75996247596456,42.1768218242273,23.998759677795963
7021,7021,-0.5,325.33333333333337,0.0,23.99263668018675,24.75033250056832,24.74995958730824,42.51896908299263,23.99502899707952
7022,7022,-0.45,340.5,0.0,23.99116380308592,24.730582873723982,24.730114466583085,43.06532737265593,23.99327719255648
7023,7023,-0.4,355.66666666666663,0.0,23.98081129440895,24.72034985033788,24.7199809246722,43.407064108561286,23.98745099689239
7024,7024,-0.3499999999999999,370.83333333333326,0.0,23.971680711844172,24.70077507936397,24.700099244564015,43.869318717278176,23.977768844563688
7025,7025,-0.3,386.0,0.0,23.96136914498659,24.68095699731897,24.68010383916362,44.38539715647622,23.968238503094344
7026,7026,-0.25,389.5,0.0,23.94853729253867,24.67051334995569,24.66996821838384,44.45641195360604,23.95671163368669
7027,7027,-0.2,393.0,0.0,23.937233909628443,24.650767832336093,24.65009922991,44.93779458442892,23.944645270906076
7028,7028,-0.15,396.5,0.0,23.924439498886137,24.640400804792513,24.63996434066735,45.111151303462066,23.93254938980233
7029,7029,-0.09999999999999998,400.0,0.0,23.91353241405971,24.62087416637052,24.62009789612538,45.598519538863314,23.920694556241283
7030,7030,-0.05000000000000002,403.5,0.0,23.90339181137189,24.601933650795782,24.600610153501805,46.09784963015668,23.910115214522985
7031,7031,0.0,407.0,0.0,23.89291345703257,24.581688317874413,24.580644584742444,46.57959487052104,23.90339181137189
7032,7032,0.09166666666666667,410.5,0.0,23.88290350750957,24.57095702658768,24.57018313358152,46.27855015700982,23.89291345703257
7033,7033,0.18333333333333332,414.0,0.0,23.87814202671559,24.551654068713713,24.550643524317568,47.936711412986,23.882903507509564
7034,7034,0.275,417.5,0.0,23.87596670489247,24.531297679126716,24.53065642118913,48.093458260771634,23.878142026715594
7035,7035,0.3666666666666667,421.0,0.0,23.874756506677127,24.51125273341003,24.51066795431744,48.873387368572,23.87596670489247
7036,7036,0.4583333333333334,424.5,0.0,23.87364970922857,24.49144298903966,24.490674776730064,49.5276080046177,23.874756506677127
7037,7037,0.55,428.0,0.0,23.87240785766341,24.47213842024443,24.470682267296425,50.182706965731754,23.87364970922857
7038,7038,0.6416666666666667,408.5,0.0,23.870616583273765,24.452168224873642,24.450688723193675,50.53373887126799,23.87240785766341
7039,7039,0.7333333333333334,389.0,0.0,23.86810313818344,24.432222053754693,24.43069627168859,50.80576002624423,23.87061658327377
