,Unnamed: 0,tout,s,i,t1,t2,t3,sp0,sp,m,rh
7000,7000,-1.9916666666666667,42.16666666666666,17983.295452854814,24.96033567477369,24.960741460291423,24.05785275216973,24.96,24.96,15.086150213593266,94898.38182668084
7001,7001,-1.95,46.0,17983.295452854814,24.95961034890533,24.960221061100107,24.046405355500045,24.96,24.96,15.086150213593266,103004.22184802813
7002,7002,-1.9083333333333328,59.16666666666667,17983.295452854807,24.95049514679494,24.95117801823468,24.03466463706345,24.95,24.95,15.086150213593266,93585.42200534775
7003,7003,-1.8666666666666667,72.33333333333333,17983.295452854814,24.94029607783024,24.94062301124192,24.022438862048112,24.94,24.94,15.086150213593266,94897.09121390124
7004,7004,-1.825,85.5,17983.295452854814,24.940059888770108,24.93965154115255,24.009622850807872,24.94,24.94,15.086150213593266,98728.27717363824
7005,7005,-1.7833333333333337,98.66666666666666,17983.295452854807,24.930692606611064,24.929369109260172,23.99665670715993,24.93,24.93,15.086150213593266,89534.8621899816
7006,7006,-1.7416666666666665,111.83333333333331,17983.295452854814,24.919937435095644,24.92026061973416,23.98350895599717,24.92,24.92,15.086150213593266,90902.34118076674
7007,7007,-1.7,125.0,17983.295452854807,24.91030310390545,24.91051347222671,23.970034096028897,24.91,24.91,15.086150213593266,89533.22020154554
7008,7008,-1.6083333333333332,138.16666666666669,53549.006382698026,24.900277959847283,24.90077612048605,23.96584628835025,24.9,24.9,18.91438808102804,0.0
7009,7009,-1.5166666666666668,151.33333333333334,53549.006382698026,24.89027229193285,24.89082002116653,23.969595195803727,24.89,24.89,20.21577225667959,0.0
7010,7010,-1.425,164.5,53549.006382698026,24.8802560929752,24.880460315091163,23.97545437410432,24.88,24.88,20.618222245786733,0.0
7011,7011,-1.3333333333333337,177.66666666666669,53549.006382698026,24.87023860862695,24.87127131848852,23.980467508819427,24.87,24.87,21.049937578755774,0.0
7012,7012,-1.2416666666666665,190.8333333333333,53549.006382698026,24.860223488063703,24.860967015346613,23.984271255778236,24.86,24.86,21.45653819465706,0.0
7013,7013,-1.15,204.0,53549.006382698026,24.85021169357215,24.850740688639952,23.98733573421173,24.85,24.85,21.853993968138766,0.0
7014,7014,-1.0583333333333331,219.16666666666669,53549.006382698026,24.84020239362562,24.842210961164398,23.99010985438882,24.84,24.84,22.228395755613928,0.0
7015,7015,-0.9666666666666668,234.33333333333337,53549.006382698026,24.83019491565813,24.832186192739506,23.99290232410993,24.83,24.83,22.599691404460344,0.0
7016,7016,-0.875,249.5,53549.006382698026,24.810037048963594,24.81044499196773,23.99554412863368,24.809999999999967,24.809999999999967,23.444566743567872,0.0
7017,7017,-0.7833333333333332,264.66666666666663,53549.006382698026,24.79997265866446,24.800350978938408,23.995864639702287,24.799999999999965,24.799999999999965,23.460925472929322,0.0
7018,7018,-0.6916666666666667,279.83333333333337,53549.006382698026,24.789966226936894,24.790285972572278,23.996988505253306,24.789999999999967,24.789999999999967,23.79258098152265,0.0
7019,7019,-0.6,295.0,53549.006382698026,24.770023017810196,24.770287851688423,23.99955289615196,24.769999999999968,24.769999999999968,24.557523205977112,0.0
7020,7020,-0.5499999999999999,310.16666666666663,53549.006382698026,24.75996247596456,24.76016104404997,23.9974752779041,24.76000000000001,24.76000000000001,24.604683713000174,0.0
7021,7021,-0.5,325.33333333333337,53549.006382698026,24.74995958730824,24.75033250056832,23.99263668018675,24.74999999999999,24.74999999999999,24.946830971765518,0.0
7022,7022,-0.45,340.5,53549.006382698026,24.730114466583085,24.730582873723982,23.99116380308592,24.73,24.73,25.493189261428803,0.0
7023,7023,-0.4,355.66666666666663,53549.006382698026,24.719980924672203,24.72034985033788,23.98081129440895,24.72000000000001,24.72000000000001,25.83492599733416,0.0
7024,7024,-0.3499999999999999,370.83333333333326,53549.006382698026,24.700099244564015,24.70077507936397,23.971680711844172,24.7,24.7,26.297180606051068,0.0
7025,7025,-0.3,386.0,53549.006382698026,24.68010383916362,24.68095699731897,23.96136914498659,24.68,24.68,26.81325904524909,0.0
7026,7026,-0.25,389.5,53549.006382698026,24.66996821838384,24.67051334995569,23.94853729253867,24.67,24.67,26.884273842378914,0.0
7027,7027,-0.2,393.0,53549.006382698026,24.65009922991,24.650767832336093,23.937233909628443,24.65,24.65,27.3656564732018,0.0
7028,7028,-0.15,396.5,53549.006382698026,24.63996434066735,24.640400804792513,23.924439498886137,24.64,24.64,27.53901319223496,0.0
7029,7029,-0.09999999999999998,400.0,53549.006382698026,24.62009789612538,24.62087416637052,23.91353241405971,24.62,24.62,28.0263814276362,0.0
7030,7030,-0.05000000000000002,403.5,53549.006382698026,24.600610153501805,24.601933650795782,23.90339181137189,24.6,24.6,28.52571151892956,0.0
7031,7031,0.0,407.0,53549.006382698026,24.580644584742444,24.581688317874413,23.89291345703257,24.58,24.58,29.007456759293913,0.0
7032,7032,0.09166666666666667,410.5,53549.006382698026,24.57018313358152,24.57095702658768,23.882903507509564,24.57,24.57,28.7064120457827,0.0
7033,7033,0.18333333333333332,414.0,53549.006382698026,24.550643524317568,24.551654068713713,23.878142026715594,24.55,24.55,30.01544009779099,0.0
7034,7034,0.275,417.5,53549.006382698026,24.53065642118913,24.531297679126716,23.87596670489247,24.53,24.53,29.992964018315483,0.0
7035,7035,0.3666666666666667,421.0,53549.006382698026,24.51066795431744,24.51125273341003,23.874756506677127,24.51,24.51,30.51908069764617,0.0
7036,7036,0.4583333333333334,424.5,53549.006382698026,24.490674776730064,24.49144298903966,23.87364970922857,24.49,24.49,30.93885265847948,0.0
