,Unnamed: 0,tout,s,i,t1,t2,t3,sp0,sp,m,rh
0,0,-2.291666666666667,0.0,7252.224314841742,20.553385967483877,21.96129676759645,20.188175524218046,24.000000000000004,24.000000000000004,67.80998018817823,398441.83280651015
1,1,-1.7833333333333337,0.0,7252.224314841742,20.82064455366244,23.37060569790322,20.82217735984813,24.020000000000003,24.020000000000003,74.94593969636081,409882.3246230283
2,2,-1.2749999999999997,0.0,7252.224314841742,20.867502114640427,23.31198224332469,21.025769490394303,24.04,24.04,71.62036562807228,404463.30726084474
3,3,-0.7666666666666668,0.0,7252.224314841742,20.91364152482382,23.328952746085445,21.20743406507577,24.07,24.07,74.4835735615899,409120.03824039525
4,4,-0.2583333333333331,0.0,7252.224314841742,20.97505128248065,23.461374237743982,21.33380118672919,24.09,24.09,75.3925609044155,410557.646857979
5,5,0.25,0.0,7252.224314841742,21.029200710414802,23.573394399889693,21.418228584530922,24.11,24.11,75.37300949008294,410530.04715308227
6,6,0.7583333333333335,0.0,7252.224314841742,21.035619231319856,23.5908051127943,21.451910930770183,24.13,24.13,75.36843079952455,410526.8707260872
7,7,1.2666666666666664,0.0,7252.224314841742,21.066125028058806,23.640935728839565,21.52018882350778,24.15,24.15,75.39320944388874,410565.9059291689
8,8,1.7749999999999997,0.0,7252.224314841742,21.084225484853267,23.67148416992384,21.558526696123053,24.17,24.17,75.40595317373533,410588.5906672437
9,9,2.2833333333333337,0.0,7252.224314841742,21.094875077193212,23.69845452048151,21.580285006055842,24.19,24.19,75.4123293934968,410653.0028773253
10,10,2.791666666666667,0.0,7252.224314841742,21.10260535773136,23.72842644407593,21.590539762575183,24.22,24.22,75.39587063971844,410607.91515628813
11,11,3.3,0.0,7252.224314841742,21.107787249678776,23.751021204128037,21.590906988973174,24.24,24.24,75.43075106796633,410651.76115438924
12,12,3.208333333333333,0.0,7252.224314841742,21.11279050057036,23.769205501428033,21.593959950897695,24.26,24.26,75.43075106796633,410655.9754062061
13,13,3.1166666666666667,0.0,7252.224314841742,21.11742054130046,23.78412404196731,21.599587787178702,24.28,24.28,75.43075106796633,410655.1060112536
14,14,3.025,0.0,7252.224314841742,21.1218223235775,23.798744043099646,21.60534150916846,24.3,24.3,75.43075106796633,410653.88942026056
15,15,2.9333333333333336,0.0,7252.224314841742,21.12603337931285,23.812624147487092,21.6113887666122,24.32,24.32,75.43075106796633,410654.4112242296
16,16,2.8416666666666663,0.0,7252.224314841742,21.129992613915807,23.826692247595574,21.61789726309457,24.34,24.34,75.43075106796633,410659.0156708633
17,17,2.75,0.0,7252.224314841742,21.13365404947048,23.839258500303625,21.624326146150594,24.36,24.36,75.43075106796633,410656.00790211005
18,18,2.658333333333333,0.0,7252.224314841742,21.13716630464402,23.85240278310164,21.630838167653813,24.38,24.38,75.43075106796633,410660.33862849546
19,19,2.566666666666667,0.0,7252.224314841742,21.14060803545791,23.864988601397076,21.637644942047164,24.4,24.4,75.43075106796633,410659.6448171013
20,20,2.475,0.0,7252.224314841742,21.14388610585599,23.87733417098064,21.64477102631515,24.42,24.42,75.43075106796633,410660.55717235885
21,21,2.3833333333333333,0.0,7252.224314841742,21.146987677881672,23.889177924006127,21.651515797457193,24.44,24.44,75.43075106796633,410661.6299262481
22,22,2.291666666666667,0.0,7252.224314841742,21.151289265958425,23.90154605909599,21.656183269406338,24.46,24.46,75.43075106796633,410595.8124121056
23,23,2.2,0.0,7252.224314841742,21.15529104698126,23.91189309234685,21.662349372101396,24.48,24.48,75.43075106796633,410623.7145179513
24,24,2.1083333333333334,0.0,7252.224314841742,21.158070288158928,23.92262136017983,21.677405051875194,24.5,24.5,75.30353891507882,410474.5925490376
25,25,2.0166666666666666,0.0,7252.224314841742,21.16183805698745,23.9335216005403,21.68540864342608,24.52,24.52,75.43075106796633,410574.0942916919
26,26,1.9250000000000005,0.0,7252.224314841742,21.16532648165195,23.94199078483348,21.69169428544414,24.54,24.54,75.43075106796633,410608.11788366095
27,27,1.8333333333333337,0.0,7252.224314841742,21.17090540255415,23.951731838740216,21.70671744318972,24.56,24.56,75.16667960361646,410167.02510629344
28,28,1.7416666666666667,0.0,7252.224314841742,21.17529645735625,23.957508746729907,21.72092718928071,24.57,24.57,75.15105606436667,410223.93767344725
29,29,1.65,0.0,7252.224314841742,21.17861826325812,23.962461327313317,21.729658699050216,24.59,24.59,75.10922491878061,410161.01694491727
30,30,1.5583333333333331,0.0,7252.224314841742,21.18159920180797,23.968198252210946,21.734025300049034,24.61,24.61,75.07649404053248,410111.6454287465
31,31,1.4666666666666668,0.0,7252.224314841742,21.184657617663568,23.974359261461114,21.736642646828066,24.63,24.63,75.04438033164799,410063.13151561696
32,32,1.375,0.0,7252.224314841742,21.187690653357183,23.977763169880852,21.73883339859398,24.64,24.64,75.04037332600555,410056.70425233815
33,33,1.2833333333333337,0.0,7252.224314841742,21.19096421049168,23.983472455671304,21.74120469917914,24.66,24.66,74.97820604388231,409963.0095610664
34,34,1.1916666666666669,0.0,7252.224314841742,21.194286438833174,23.989734725804798,21.743587597276004,24.68,24.68,74.95761223249086,409931.5937711276
35,35,1.1,0.0,7252.224314841742,21.197373896959547,23.99271698964173,21.745679042154173,24.69,24.69,74.95838453339881,409932.2188969156
36,36,1.1,0.0,7252.224314841742,21.20044181609673,24.000829987145448,21.74887749803805,24.71,24.71,74.91575062737498,409868.0864218779
37,37,1.1,0.0,7252.224314841742,21.20322601384866,24.009715068025113,21.753417609756927,24.72,24.72,74.93730523021573,409900.1930665617
