,real,prediction
0,77.5,77.4970987101
1,77.5,77.494201289
2,77.4666595459,77.4913077316
3,77.4333190918,77.4884762181
4,77.4333190918,77.4857066661
5,77.4333190918,77.4829989927
6,77.4333190918,77.4802949299
7,77.4333190918,77.4775944729
8,77.4333190918,77.4748976169
9,77.3666687012,77.472204357
10,77.3666687012,77.4695728742
11,77.3666687012,77.467003103
12,77.3666687012,77.4644367585
13,77.3333129883,77.4618156335
14,77.3333129883,77.4592562063
15,77.3333129883,77.4567001921
16,77.3333129883,77.4541475862
17,77.3333129883,77.4515983841
18,77.3333129883,77.4490525813
19,77.3333129883,77.4464519706
20,77.3333129883,77.4438548276
21,77.3333129883,77.4413193506
22,77.3333129883,77.4388454402
23,77.3222045899,77.4364330142
24,77.3110961914,77.4340238052
25,77.299987793,77.4315838657
26,77.2888793946,77.4291132367
27,77.2777709961,77.4266119593
28,77.2666625977,77.4240800741
29,77.2666625977,77.4215176221
30,77.2666625977,77.4189246441
31,77.2666625977,77.4161896511
32,77.299987793,77.4133419339
33,77.299987793,77.4104398284
34,77.299987793,77.4074688651
35,77.2333374023,77.4044436779
36,77.2333374023,77.4014225246
37,77.1999816895,77.3983180959
38,77.1999816895,77.3951596212
39,77.1999816895,77.3919471726
40,77.1999816895,77.3887390077
41,77.1999816895,77.3855933065
42,77.1999816895,77.3824517998
43,77.1999816895,77.3793144823
44,77.2333068848,77.3761813483
45,77.2333068848,77.3731105779
46,77.2333068848,77.3700439022
47,77.2333068848,77.3670395185
48,77.2333068848,77.3640391411
49,77.2166442871,77.3610427645
50,77.1999816895,77.3580503836
51,77.1999816895,77.3550328915
52,77.1999816895,77.3519903218
53,77.1999816895,77.349010012
54,77.1999816895,77.3460336763
55,77.1999816895,77.3430613095
56,77.1999816895,77.3401510918
57,77.1999816895,77.3372447548
58,77.1999816895,77.3343422933
59,77.1999816895,77.3314437021
60,77.1999816895,77.3289268424
61,77.1333312988,77.3264128716
62,77.1333312988,77.3238482389
63,77.1333312988,77.32128655
64,77.1333312988,77.3187278014
65,77.1333312988,77.3161184266
66,77.1333312988,77.3134584994
67,77.1333312988,77.310765927
68,77.1333312988,77.3080407468
69,77.1333312988,77.3052829963
70,77.1333312988,77.3025284112
71,77.1333312988,77.299776988
72,77.1333312988,77.2970287229
73,77.0666503906,77.2942836124
74,77.0333251953,77.2915952003
75,77.0333251953,77.2889098741
76,77.0333251953,77.2863347253
77,77.0333251953,77.2837625324
78,77.0333251953,77.2812468551
79,77.0333251953,77.2787876131
80,77.0333251953,77.2763311938
81,77.0333251953,77.273877594
82,77.0333251953,77.2714268106
83,77.0333251953,77.2689788403
84,77.0333251953,77.2665336798
85,77.0,77.2639842152
86,77.0,77.2613841293
87,76.9666442871,77.258787028
88,76.9666442871,77.2561929076
89,76.9666442871,77.2536017649
90,76.9666442871,77.2510671439
91,76.9666442871,77.2485354323
92,76.9666442871,77.2461137374
93,76.9666442871,77.2438153003
94,76.9666442871,77.2415998307
95,76.9666442871,77.239386904
96,76.9666442871,77.2372300649
97,76.9333190918,77.2350757016
98,76.9333190918,77.232923811
99,76.9333190918,77.2307743905
100,76.8999938965,77.2285203421
101,76.8999938965,77.2262153334
102,76.8999938965,77.2239129705
103,76.8999938965,77.2216132502
104,76.8999938965,77.2193161697
105,76.8999938965,77.2170217259
106,76.8999938965,77.2146362035
107,76.9333190918,77.2122534194
108,76.9333190918,77.2098198227
109,76.8999938965,77.2073354561
110,76.8999938965,77.2048003936
111,76.8999938965,77.2022146934
112,76.8999938965,77.1995784135
113,76.8666381836,77.1969451597
114,76.8666381836,77.1943149285
115,76.8666381836,77.1916877163
116,76.8666381836,77.1890635197
117,76.8666381836,77.1863887877
118,76.8666381836,77.1836635782
119,76.8666381836,77.1809414969
120,76.8666381836,77.1784766
121,76.8333129883,77.175957373
122,76.8333129883,77.1733119255
123,76.8333129883,77.1706699435
124,76.8333129883,77.1680314225
125,76.8333129883,77.1653387819
126,76.8333129883,77.1627360328
127,76.8333129883,77.1601366933
128,76.8333129883,77.1575407589
129,76.8333129883,77.1550057844
130,76.8333129883,77.1524741307
131,76.8333129883,77.1499457934
132,76.8333129883,77.1474207683
133,76.799987793,77.144899051
134,76.799987793,77.1423806371
135,76.799987793,77.1398655224
136,76.799987793,77.1373537024
137,76.799987793,77.1349171177
138,76.799987793,77.1324837248
