,on,t,tout,tdis,t_pre,hour,weekday
0,0.0,75.2922088623,60.0845825195,73.757808431,75.4688771566,0.0,3.0
1,0.0,75.1166503906,60.4495890299,73.5259857178,75.2922088623,0.0,3.0
2,0.0,77.1055440267,60.7272399902,75.8025512695,77.4877695719,0.0,4.0
3,0.0,76.7922088623,59.6079915364,75.2541758219,77.1055440267,0.0,4.0
4,0.0,77.22665507,59.4626815796,76.7730361938,77.5116658529,0.0,0.0
5,0.0,76.9166524251,55.5747029622,76.1070200602,77.22665507,0.0,0.0
6,0.0,77.3666514079,60.0620941162,76.6925974528,77.6399810791,0.0,1.0
7,0.0,77.0710957845,60.4175872803,76.1848642985,77.3666514079,0.0,1.0
8,0.0,77.224983724,72.7241709391,76.9892791748,77.3710993449,0.0,2.0
9,0.0,77.0788818359,71.8004048665,76.7613586426,77.224983724,0.0,2.0
10,0.0,79.4311035156,75.5292266846,80.3729777018,79.5922007242,0.0,3.0
11,0.0,79.2988769532,76.504897054,80.1956593831,79.4311035156,0.0,3.0
12,0.0,75.0722076416,57.3478485107,73.4913818359,75.365540568,0.0,4.0
13,0.0,74.8010965983,55.7113657633,72.7976918538,75.0722076416,0.0,4.0
14,0.0,78.2633249919,64.5650512695,78.8160573323,78.5888712565,0.0,0.0
15,0.0,77.9666564941,64.3955088297,78.2503753662,78.2633249919,0.0,0.0
16,0.0,76.8213621297,60.0064365744,76.0447567082,77.20128957,0.0,1.0
17,0.0,76.4414346893,59.0319598081,75.3667414402,76.8213621297,0.0,1.0
18,0.0,73.370075587,66.5282243582,73.3937433006,73.3656374463,0.0,2.0
19,0.0,73.3745137277,66.4078853314,73.359197041,73.370075587,0.0,2.0
20,0.0,75.6066558838,64.0962412516,75.0794596354,75.7766581218,0.0,3.0
21,0.0,75.4544301351,64.8487701416,74.7940205892,75.6066558838,0.0,3.0
22,0.0,74.4610900879,64.0253239949,72.7648417155,74.4833221435,0.0,4.0
23,0.0,74.403326416,64.4076263428,72.7060038249,74.4610900879,0.0,4.0
24,0.0,80.2455373129,73.8823618571,80.8625417073,80.3677663167,0.0,0.0
25,0.0,80.1144337972,72.2039001465,80.9075195312,80.2455373129,0.0,0.0
26,0.0,79.8444295248,76.470304362,80.1870117187,79.98887736,0.0,1.0
27,0.0,79.7288655599,78.5012044271,80.2553415934,79.8444295248,0.0,1.0
28,0.0,78.1510925293,72.5607004801,79.5183888753,78.3844360352,0.0,2.0
29,0.0,77.9622111003,70.2443511963,79.0279764811,78.1510925293,0.0,2.0
30,0.0,77.264436849,66.1660827637,77.9952219645,77.6022084554,0.0,3.0
31,0.0,77.0699849446,64.9153594971,77.6414388021,77.264436849,0.0,3.0
32,0.0,78.9411061605,64.2649159749,76.9745697021,79.2455454509,0.0,4.0
33,0.0,78.5677622477,60.5032236735,76.2990397135,78.9411061605,0.0,4.0
34,0.0,80.5733154297,76.190053304,79.697450765,80.5233276367,0.0,0.0
35,0.0,80.5344329834,76.4374328613,80.6376515706,80.5733154297,0.0,0.0
36,0.0,78.4455434163,71.5279408773,78.5773234049,78.514440918,0.0,1.0
37,0.0,78.3577524821,71.0972045898,78.3143758138,78.4455434163,0.0,1.0
38,0.0,78.7622070313,67.1633728027,79.5218556722,78.9944366455,0.0,2.0
39,0.0,78.5177693685,66.1193776448,78.9068796794,78.7622070313,0.0,2.0
40,0.0,74.9766571045,59.6685424805,73.1791422526,75.1166503906,1.0,3.0
41,0.0,74.7599792481,57.8737604777,72.963772583,74.9766571045,1.0,3.0
42,0.0,76.5033233642,58.5847493489,74.949710083,76.7922088623,1.0,4.0
43,0.0,76.208883667,58.2119639079,74.2663909912,76.5033233642,1.0,4.0
44,0.0,76.6188781738,54.2253677368,75.1529652913,76.9166524251,1.0,0.0
45,0.0,76.3333190918,53.1640736898,73.8399709066,76.6188781738,1.0,0.0
46,0.0,76.8433166504,59.1577855428,76.0655049642,77.0710957845,1.0,1.0
47,0.0,76.6110982259,59.1089223226,75.8596547445,76.8433166504,1.0,1.0
48,0.0,76.9166503906,71.6646026611,76.6069590251,77.0788818359,1.0,2.0
49,0.0,76.8066528321,71.8211619059,76.4824066162,76.9166503906,1.0,2.0
