,on,t,tout,tdis,t_pre,hour,weekday
0,0.0,75.5333251953,60.2402832031,73.5467346191,75.5466552734,0.0,3.0
1,0.0,75.4733154297,60.2402832031,73.6297668457,75.5333251953,0.0,3.0
2,0.0,75.4333190918,60.0119140625,73.7854980469,75.4733154297,0.0,3.0
3,0.0,75.4333190918,59.928894043,73.8789123535,75.4333190918,0.0,3.0
4,0.0,75.3933288574,59.9704040527,73.868536377,75.4333190918,0.0,3.0
5,0.0,75.3666687012,60.1157165527,73.8374023438,75.3933288574,0.0,3.0
6,0.0,75.3333129883,60.302557373,73.7543334961,75.3666687012,0.0,3.0
7,0.0,75.299987793,60.3855895996,73.6297790527,75.3333129883,0.0,3.0
8,0.0,75.2799926758,60.4634277344,73.5674987793,75.299987793,0.0,3.0
9,0.0,75.24664917,60.5153198242,73.4429504394,75.2799926758,0.0,3.0
10,0.0,75.2266418457,60.5153198242,73.3910522461,75.24664917,0.0,3.0
11,0.0,75.1933166504,60.5153198242,73.370300293,75.2266418457,0.0,3.0
12,0.0,77.6333312988,60.9512695312,76.1623779297,77.6333312988,0.0,4.0
13,0.0,77.5466552734,60.8059509277,76.0066955566,77.6333312988,0.0,4.0
14,0.0,77.4333190918,60.8059509277,75.840625,77.5466552734,0.0,4.0
15,0.0,77.3866577149,60.7851928711,75.7264343262,77.4333190918,0.0,4.0
16,0.0,77.2933227539,60.6191101074,75.6070495605,77.3866577149,0.0,4.0
17,0.0,77.2666625977,60.3959655762,75.4721252441,77.2933227539,0.0,4.0
18,0.0,77.1799804687,60.1572387695,75.3268249512,77.2666625977,0.0,4.0
19,0.0,77.0999755859,59.8147155762,75.2230407715,77.1799804687,0.0,4.0
20,0.0,77.0799804687,59.7731994629,75.0984924316,77.0999755859,0.0,4.0
21,0.0,77.0066650391,59.7213195801,75.2022827148,77.0799804687,0.0,4.0
22,0.0,77.0,59.1192810058,75.3372070312,77.0066650391,0.0,4.0
23,0.0,76.9266479492,59.0621948242,75.3372070312,77.0,0.0,4.0
24,0.0,77.6000061035,60.2714202881,76.9927398682,77.6100036621,0.0,0.0
25,0.0,77.5333251953,60.1364868164,76.8733825684,77.6000061035,0.0,0.0
26,0.0,77.5,59.6693969726,76.7799560547,77.5333251953,0.0,0.0
27,0.0,77.453326416,59.3995361328,76.7332519531,77.5,0.0,0.0
28,0.0,77.3733337403,59.2490356445,76.6605834961,77.453326416,0.0,0.0
29,0.0,77.3666687012,58.050213623,76.5983032226,77.3733337403,0.0,0.0
