,on,t,tout,tdis,t_pre,hour,weekday,il
380,0.0,77.3177612305,72.6143188476,77.0550130208,77.4244374593,0.0,2.0,-0.213588983169
381,0.0,77.2377665202,72.8340230306,76.9235453288,77.3177612305,0.0,2.0,-0.189275005499
382,0.0,77.2122009278,71.7805074056,76.8145650228,77.2377665202,0.0,2.0,-0.127784034525
383,0.0,77.1377726237,71.8203023275,76.7081522624,77.2122009278,0.0,2.0,-0.177120866854
384,0.0,77.0199910482,71.5677286784,76.6259887695,77.1377726237,1.0,2.0,-0.219181884299
385,0.0,76.9422058105,71.7614766439,76.5879292806,77.0199910482,1.0,2.0,-0.181445360144
386,0.0,76.8910949707,72.1714680989,76.5118143717,76.9422058105,1.0,2.0,-0.158309260482
387,0.0,76.835534668,71.4708557129,76.4529988607,76.8910949707,1.0,2.0,-0.158047284294
388,0.0,76.7777709961,70.8307963053,76.4287882487,76.835534668,2.0,2.0,-0.156010737598
389,0.0,76.7244364421,70.6664489746,76.3665039062,76.7777709961,2.0,2.0,-0.150808469243
390,0.0,76.6466613769,70.0506144206,76.3630432129,76.7244364421,2.0,2.0,-0.171168644526
391,0.0,76.5955362955,68.4798421224,76.1969726562,76.6466613769,2.0,2.0,-0.133688562532
392,0.0,76.5333251953,66.616712443,76.0412923177,76.5955362955,3.0,2.0,-0.131630425877
393,0.0,76.4866556803,66.6046203613,75.7921732585,76.5333251953,3.0,2.0,-0.116452400554
394,0.0,76.3911071778,65.4749857585,75.6156982422,76.4866556803,3.0,2.0,-0.157475634553
395,0.0,76.3377604167,64.4128234863,75.3648844401,76.3911071778,3.0,2.0,-0.108262144028
396,0.0,76.2955444336,63.681068929,75.0638916016,76.3377604167,4.0,2.0,-0.0922102430104
397,0.0,76.1844299316,62.8714579264,74.8874471029,76.2955444336,4.0,2.0,-0.155542131758
398,0.0,76.1355448405,62.5583394368,74.6348510742,76.1844299316,4.0,2.0,-0.0918473979671
399,0.0,76.0399881999,63.0375366211,74.4359110514,76.1355448405,4.0,2.0,-0.142349619602
400,0.0,75.9399841309,63.3143269857,74.6019877116,76.0399881999,5.0,2.0,-0.149498027306
401,0.0,75.8355407715,62.7261433919,74.6002522786,75.9399841309,5.0,2.0,-0.150396097352
402,0.0,75.799987793,63.0081278483,74.3424987793,75.8355407715,5.0,2.0,-0.084308836979
403,0.0,75.7277750651,63.7883260091,74.5725708008,75.799987793,5.0,2.0,-0.126885988465
404,0.0,75.6666564941,64.0962565104,74.84246521,75.7277750651,6.0,2.0,-0.118549364137
405,0.0,75.6044331868,64.8349182129,74.7507751465,75.6666564941,6.0,2.0,-0.125455650972
406,0.0,75.2310953776,66.1202412923,74.5950764974,75.6044331868,6.0,2.0,-0.446345160733
407,0.533333333333,74.3222106934,67.3813456217,62.3524963379,75.2310953776,6.0,2.0,-0.625803278093
408,0.0,74.6111022949,69.6734802246,74.3269307454,74.3222106934,7.0,2.0,0.180808148756
409,0.0,74.7666503906,72.2475870768,76.1035644531,74.6111022949,7.0,2.0,0.0308878503048
