,on,t,tout,tdis,t_pre,hour,weekday,il
92,0.0,76.9977661133,72.2622879028,76.8753189087,77.2980415345,0.0,2.0,-0.370915596569
93,0.0,76.7461008708,71.7428822835,76.5446828206,76.9977661133,1.0,2.0,-0.314572696555
94,0.0,76.5016560872,70.0069254557,76.338827006,76.7461008708,2.0,2.0,-0.254974184435
95,0.0,76.2383199056,65.7772855123,75.7035120646,76.5016560872,3.0,2.0,-0.1332350175
96,0.0,75.9038752238,63.0371007283,74.7555252075,76.2383199056,4.0,2.0,-0.116939863865
97,0.0,75.5574900309,63.2092310587,74.5293273926,75.9038752238,5.0,2.0,-0.146756520873
98,0.133333333333,74.4210973104,65.6081904093,71.6352032979,75.5574900309,6.0,2.0,-0.933832961493
99,0.2,73.7072082519,71.9353403727,70.828624471,74.4210973104,7.0,2.0,-0.724799916632
100,0.233333333333,73.7149917603,73.4970153808,70.8281936645,73.7072082519,8.0,2.0,-0.0584756512461
101,0.383333333333,73.885546875,75.8548884074,68.8377166748,73.7149917603,9.0,2.0,0.133651086967
102,0.4,73.8505432129,78.9920806885,68.2268376668,73.885546875,10.0,2.0,-0.164118938583
103,0.516666666667,73.9283208212,81.6115976969,68.1611028035,73.8505432129,11.0,2.0,-0.0576777522288
104,0.466666666667,74.1188751221,85.3611790975,69.3979919434,73.9283208212,12.0,2.0,-0.111901151308
105,0.666666666667,73.9619303386,89.9705307007,66.0839141846,74.1188751221,13.0,2.0,-0.465617622398
106,0.683333333333,73.9658259074,93.6625897725,65.2124745687,73.9619303386,14.0,2.0,-0.428125695566
107,0.766666666667,75.9094309489,95.4846214294,63.2777816772,73.9658259074,15.0,2.0,1.50980586851
108,0.0,78.0705429077,93.7793614705,75.4959269206,75.9094309489,16.0,2.0,1.28217026405
109,0.0,79.6322077433,93.7832585653,82.6690022786,78.0705429077,17.0,2.0,0.758847479268
110,0.0,80.6016548157,95.5724136353,85.3270085653,79.6322077433,18.0,2.0,0.158601983699
111,0.133333333333,80.41387736,92.8380681356,79.298055013,80.6016548157,19.0,2.0,-0.768112691628
112,0.0833333333333,80.3716557821,81.9160593669,77.2574076335,80.41387736,20.0,2.0,-0.281193130561
113,0.0,80.1527613322,78.9211509704,81.1994415283,80.3716557821,21.0,2.0,-0.416051783594
114,0.0,79.838873291,76.7678400675,81.5968943278,80.1527613322,22.0,2.0,-0.442783202605
207,0.0,73.376732798,66.4680548448,73.3764701708,73.3678565167,0.0,2.0,0.00401510004516
208,0.0,73.3856090794,66.2273767911,73.3073776516,73.376732798,1.0,2.0,0.0128214360223
209,0.0,73.3944853608,65.9866987375,73.2382851324,73.3856090794,2.0,2.0,0.0216277718994
210,0.0,73.4033616422,65.7460206839,73.1691926132,73.3944853608,3.0,2.0,0.0304341077765
211,0.0,73.4122379235,65.5053426302,73.100100094,73.4033616422,4.0,2.0,0.0392404435571
212,0.0,73.4211142049,65.2646645766,73.0310075749,73.4122379235,5.0,2.0,0.0480467795307
213,0.0,73.4332549853,65.0239865229,72.9619150557,73.4211142049,6.0,2.0,0.0601176144113
214,0.0,73.5455454508,64.7834520976,72.9309830103,73.4332549853,7.0,2.0,0.169183765455
215,0.1,73.4472084045,65.2596125285,71.4907521566,73.5455454508,8.0,2.0,0.0205730388059
216,0.15,73.5244389852,67.8306943258,69.866359965,73.4472084045,9.0,2.0,0.13937010488
217,0.15,73.6722137451,71.1906092326,72.5338912964,73.5244389852,10.0,2.0,0.0940740973961
218,0.25,73.6394332886,73.7880696614,70.6071996053,73.6722137451,11.0,2.0,-0.098069120814
219,0.35,73.7544367472,77.8343338013,67.5608271281,73.6394332886,12.0,2.0,-0.0193704334486
220,0.4,73.7527664185,80.8720586141,67.0076883952,73.7544367472,13.0,2.0,-0.201753384111
221,0.416666666667,73.796374766,82.7732284546,67.2451202392,73.7527664185,14.0,2.0,-0.211146421785
222,0.466666666667,74.6910954793,83.8630683899,66.1042399088,73.796374766,15.0,2.0,0.640474821517
223,0.0,76.350545756,82.8826446533,74.557019043,74.6910954793,16.0,2.0,1.122041727
224,0.0,76.8780410767,78.7680562337,79.2679962158,76.350545756,17.0,2.0,0.193842494687
225,0.0,76.9560994466,77.7076179504,80.1718795776,76.8780410767,18.0,2.0,-0.19955905738
226,0.0,76.807770284,73.6068649292,79.6343043009,76.9560994466,19.0,2.0,-0.278483646881
227,0.0,76.5872055054,69.7997639974,78.5306223551,76.807770284,20.0,2.0,-0.22160760831
228,0.0,76.3010976156,68.9287701925,77.3975326538,76.5872055054,21.0,2.0,-0.264198217123
229,0.0,76.0022079468,67.5210418701,76.5174448649,76.3010976156,22.0,2.0,-0.237399973375
322,0.0,77.8660995484,71.4025258382,79.2731826782,78.2677642822,0.0,2.0,-0.407745590898
323,0.0,77.4911010742,65.5113189697,78.1353357951,77.8660995484,1.0,2.0,-0.187362993532
324,0.0,77.0430430094,62.3797409057,76.7963902791,77.4911010742,2.0,2.0,-0.163147713152
325,0.0,76.4066502889,61.7686518351,75.8466690063,77.0430430094,3.0,2.0,-0.345729289886
326,0.0,75.9588762919,59.2507659912,75.1572873433,76.4066502889,4.0,2.0,-0.0907159658068
327,0.0,74.5399876913,61.2196212768,74.7715255737,75.9588762919,5.0,2.0,-1.1471091888
328,0.166666666667,73.5738805135,74.398731486,69.1069285075,74.5399876913,6.0,2.0,-1.08470373819
329,0.0833333333333,73.6805470784,74.4566813151,72.0668116252,73.5738805135,7.0,2.0,-0.110448108658
330,0.25,73.6333206177,72.1433624268,69.1579655965,73.6805470784,8.0,2.0,-0.0541822154317
