,on,t,tout,tdis,t_pre,hour,weekday
0,0.0,75.4199890137,60.1641601562,73.6539998372,75.5177652995,0.0,3.0
1,0.0,75.3333231608,60.0050048828,73.8616170247,75.4199890137,0.0,3.0
2,0.0,75.2510945638,60.3838582357,73.6505371094,75.3333231608,0.0,3.0
3,0.0,75.1488769531,60.5153198242,73.4014343262,75.2510945638,0.0,3.0
4,0.0,77.3710998535,60.8543904622,76.0032328288,77.6044392903,0.0,4.0
5,0.0,77.1822062174,60.6000895182,75.6018697103,77.3710998535,0.0,4.0
6,0.0,77.0288818359,59.9150512695,75.2161193848,77.1822062174,0.0,4.0
7,0.0,76.8799763997,59.3009318034,75.2922322591,77.0288818359,0.0,4.0
8,0.0,77.4422200521,60.0257680257,76.8820261637,77.5811116536,0.0,0.0
9,0.0,77.2933186849,58.8995951335,76.6640462239,77.4422200521,0.0,0.0
10,0.0,77.1599914551,55.7044413249,76.3249898275,77.2933186849,0.0,0.0
11,0.0,76.9822041829,55.4449645996,75.889050293,77.1599914551,0.0,0.0
12,0.0,77.5666503906,60.665834554,76.8353190104,77.7133117676,0.0,1.0
13,0.0,77.4377604167,59.4583536784,76.5498758952,77.5666503906,0.0,1.0
14,0.0,77.2955423991,60.6762084961,76.2765462239,77.4377604167,0.0,1.0
15,0.0,77.1222025553,60.1589660644,76.093182373,77.2955423991,0.0,1.0
16,0.0,77.3177612305,72.6143188476,77.0550130208,77.4244374593,0.0,2.0
17,0.0,77.2377665202,72.8340230306,76.9235453288,77.3177612305,0.0,2.0
18,0.0,77.2122009278,71.7805074056,76.8145650228,77.2377665202,0.0,2.0
19,0.0,77.1377726237,71.8203023275,76.7081522624,77.2122009278,0.0,2.0
20,0.0,79.5799804687,75.3337381999,80.4490987142,79.6044209798,0.0,3.0
21,0.0,79.4666564941,75.7247151693,80.2968566894,79.5799804687,0.0,3.0
22,0.0,79.3955505371,75.9305745443,80.2017130534,79.4666564941,0.0,3.0
23,0.0,79.3110961914,77.0792195638,80.1896057129,79.3955505371,0.0,3.0
24,0.0,75.306648763,57.3755208333,73.5467346191,75.4244323731,0.0,4.0
25,0.0,75.1333170573,57.3201761881,73.4360290527,75.306648763,0.0,4.0
26,0.0,75.0110982259,56.3946777344,72.9983662923,75.1333170573,0.0,4.0
27,0.0,74.8666544597,55.0280537923,72.5970174153,75.0110982259,0.0,4.0
28,0.0,78.5133158366,64.6342488607,78.9613769531,78.6644266764,0.0,0.0
29,0.0,78.328881836,64.4958536784,78.6707377116,78.5133158366,0.0,0.0
30,0.0,78.1977681478,64.3920491536,78.3766560872,78.328881836,0.0,0.0
31,0.0,78.0511027018,64.3989685058,78.1240946452,78.1977681478,0.0,0.0
32,0.0,77.10630771,60.2500557659,76.2142605252,77.2962714301,0.0,1.0
33,0.0,76.9163439898,59.7628173828,75.8752528912,77.10630771,0.0,1.0
34,0.0,76.7263802696,59.2755789997,75.5362452572,76.9163439898,0.0,1.0
35,0.0,76.5364165494,58.7883406166,75.1972376232,76.7263802696,0.0,1.0
36,0.0,73.3667469815,66.5583091149,73.4023798655,73.3645279111,0.0,2.0
37,0.0,73.3689660518,66.4981396015,73.3851067357,73.3667469815,0.0,2.0
38,0.0,73.3711851222,66.4379700881,73.3678336059,73.3689660518,0.0,2.0
39,0.0,73.3734041925,66.3778005747,73.3505604761,73.3711851222,0.0,2.0
40,0.0,75.7466634115,63.5893737793,75.1711425781,75.8066528321,0.0,3.0
