Date/Time,Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep),Gas:Facility [J](Daily),Electricity:Facility [J](Daily) 
 01/01  00:05:00,353717710.19901129,526940541.75759419 
 01/01  00:10:00,355297531.596241,593764951.716386 
 01/01  00:15:00,360901346.1914196,599809574.1514114 
 01/01  00:20:00,361744150.04001346,599228380.3587 
 01/01  00:25:00,362695415.9515262,586868651.7163482 
 01/01  00:30:00,364019567.4436603,583391332.049483 
 01/01  00:35:00,366358836.7413384,583067959.4002409 
 01/01  00:40:00,368320523.78685036,582452427.7587686 
 01/01  00:45:00,370197719.61814376,581988411.155274 
 01/01  00:50:00,371979132.473822,581050514.6168223 
 01/01  00:55:00,373744077.7761903,580374759.0616654 
 01/01  01:00:00,374758633.4569659,576882142.0652036 
 01/01  01:05:00,374795883.55648776,576374921.8404543 
 01/01  01:10:00,374273440.30789187,576255616.5950676 
 01/01  01:15:00,373970074.73239228,575560127.8527465 
 01/01  01:20:00,373826350.270107,575676571.1770099 
 01/01  01:25:00,373658197.34423938,576028888.1809415 
 01/01  01:30:00,373363215.1007906,576119928.0381966 
 01/01  01:35:00,373365706.36791416,576639619.765157 
 01/01  01:40:00,373194490.1604924,577152629.4749241 
 01/01  01:45:00,373143966.2363876,577711760.7067397 
 01/01  01:50:00,373153281.5794021,578845285.5306037 
 01/01  01:55:00,373089101.4029757,579435768.603792 
 01/01  02:00:00,373067390.1992046,580300652.622283 
 01/01  02:05:00,372837948.45789167,581510544.6256085 
 01/01  02:10:00,372644922.4945769,582890371.5311977 
 01/01  02:15:00,372449571.3401692,584008522.3257729 
 01/01  02:20:00,372245616.72070339,585381988.8564456 
 01/01  02:25:00,372038746.45164677,585535934.6290103 
 01/01  02:30:00,371856927.7085626,587228432.6013883 
 01/01  02:35:00,371662129.8042532,588810646.2034766 
 01/01  02:40:00,371473100.66829356,589142086.0662356 
 01/01  02:45:00,371236941.2980081,589053004.2594185 
 01/01  02:50:00,371066051.73601177,590554062.0891959 
 01/01  02:55:00,370834654.5077761,590916751.6393998 
 01/01  03:00:00,370601208.0101166,591082894.0808045 
 01/01  03:05:00,370654967.6181028,591552828.9767257 
 01/01  03:10:00,370658543.7465901,590905261.0289571 
 01/01  03:15:00,370756366.4802328,591693637.6885082 
 01/01  03:20:00,370774336.77774986,590933007.8044868 
 01/01  03:25:00,370885265.5689808,592187261.8992683 
 01/01  03:30:00,370909563.3186683,590926553.6112263 
 01/01  03:35:00,370993293.6488072,591537133.3381703 
 01/01  03:40:00,371081535.1787083,591784349.8575628 
 01/01  03:45:00,371103631.9780406,591011359.6946409 
 01/01  03:50:00,371185794.72337278,591503006.8231317 
 01/01  03:55:00,371243808.1968238,591310475.0195503 
 01/01  04:00:00,371288240.7737961,590943433.6600429 
 01/01  04:05:00,375262240.68289026,592478310.3110783 
 01/01  04:10:00,375441144.34344008,592152824.587067 
 01/01  04:15:00,375679431.6843332,592800115.7213692 
 01/01  04:20:00,375882615.2207042,593429712.5806964 
 01/01  04:25:00,376072984.611305,593547871.5737535 
 01/01  04:30:00,376265787.61501589,593975579.4375759 
 01/01  04:35:00,376429192.30553469,593945699.115278 
 01/01  04:40:00,376638182.37993898,594621940.1555474 
 01/01  04:45:00,376810377.8320923,595040159.7465211 
 01/01  04:50:00,377006333.59754386,595665208.0204147 
 01/01  04:55:00,377156584.67526558,594788580.3688897 
 01/01  05:00:00,377374293.9314856,596398977.7159335 
 01/01  05:05:00,384706753.4202167,595248266.1301046 
 01/01  05:10:00,384683352.81038048,594208171.5239525 
 01/01  05:15:00,384739708.64583906,594219024.7238116 
 01/01  05:20:00,384729542.22498956,592693204.4507109 
 01/01  05:25:00,384800862.94120028,590361615.6547017 
 01/01  05:30:00,384848177.2927198,588467134.2187888 
 01/01  05:35:00,384833166.46732708,586106582.3173584 
 01/01  05:40:00,384585017.8753857,583647343.4654718 
 01/01  05:45:00,384394518.70512887,582693866.4992032 
 01/01  05:50:00,383673534.2968021,579079143.2999452 
 01/01  05:55:00,383671424.4682222,577333114.5943631 
 01/01  06:00:00,383493998.77314826,575369674.8750844 
 01/01  06:05:00,406187597.52134159,575132111.3857427 
 01/01  06:10:00,406310027.861808,574695711.095579 
 01/01  06:15:00,406529301.7503431,575128180.9495624 
 01/01  06:20:00,406702592.984838,574471959.6577977 
 01/01  06:25:00,406910191.88063237,574769269.6812948 
 01/01  06:30:00,406776261.9023085,573042415.4015514 
 01/01  06:35:00,407169309.18030288,574731527.8335592 
 01/01  06:40:00,407205462.7831814,573678361.7259959 
 01/01  06:45:00,407157536.73949238,572259775.0568016 
 01/01  06:50:00,407528397.4913276,573546671.8542998 
 01/01  06:55:00,407548449.7250591,573191725.5298468 
 01/01  07:00:00,407474729.1814675,571624860.4340404 
 01/01  07:05:00,414888230.3933709,571507739.1265385 
 01/01  07:10:00,414414447.80112108,568149541.9521445 
 01/01  07:15:00,395947069.464992,545436906.1228361 
 01/01  07:20:00,397939165.23568448,522534867.3410864 
 01/01  07:25:00,398098542.0467213,522370291.7719491 
 01/01  07:30:00,397737223.64751419,520027181.2534009 
 01/01  07:35:00,378866330.36396846,507011460.6348445 
 01/01  07:40:00,378136978.390058,501485355.5373456 
 01/01  07:45:00,376667462.25752046,492153308.51852616 
 01/01  07:50:00,375740806.73797127,485494650.24412229 
 01/01  07:55:00,374662988.24018219,477457485.8438425 
 01/01  08:00:00,373571923.8928683,469904362.9195415 
 01/01  08:05:00,373385988.42844167,465601087.8398266 
 01/01  08:10:00,373072047.7709045,462010479.3426 
