,Unnamed: 0,tout,s,i,t1,t2,t3,sp0,sp,m,rh
1463,1463,-8.9,0.0,9266.612164555145,22.947328393491038,24.24141657693923,23.19153027874284,23.74000000000001,23.74000000000001,73.90659689200871,408412.40458692226
1464,1464,-8.9,0.0,9266.612164555145,22.889670566503625,23.712458198582674,23.239532466657053,25.0,25.0,73.90659689200871,410983.1208650322
1465,1465,-8.9,0.0,9266.612164555145,22.91004144990775,23.81597555108522,23.201744051905393,23.57,23.57,75.43075106796633,410828.8564512014
1466,1466,-8.9,0.0,9266.612164555145,22.82721168366397,23.170273808167938,23.14422815925432,24.70000000000001,24.70000000000001,75.43075106796633,413745.5910187147
1467,1467,-8.900000000000002,0.0,9266.612164555145,22.879069465038253,23.734101361751428,23.05099241705877,24.81,24.81,75.43075106796633,410829.82998570846
1468,1468,-8.9,0.0,9266.612164555145,22.840022266637856,23.491466518711764,23.0697495537786,24.87,24.87,74.60706156435106,411825.939702582
1469,1469,-8.9,0.0,9266.612164555145,22.898834698501748,24.29099560081872,23.081179700746034,23.12,23.12,75.43075106796633,410082.58315801976
1470,1470,-8.9,0.0,9266.612164555145,22.864634004439512,23.406240605930343,23.119137956135233,23.05,23.05,74.31948085057633,410904.6135483505
1471,1471,-8.9,0.0,9266.612164555145,22.893963126173425,23.614077244071435,23.07150293803845,24.23,24.23,75.43075106796633,410644.2862169956
1472,1472,-8.9,0.0,9266.612164555145,22.80379776450887,23.209843688315765,23.057571431307448,24.77,24.77,75.43075106796633,413996.1360056038
1473,1473,-8.9,0.0,9266.612164555145,22.898644012076076,24.202529192284484,23.09847008870657,24.03000000000001,24.03000000000001,70.85828854009347,403389.37762155477
1474,1474,-8.9,0.0,9266.612164555145,22.845785714600805,23.756455464084397,23.21366909754877,23.74000000000001,23.74000000000001,75.21899610717216,413182.91327478975
1475,1475,-8.9,0.0,9266.612164555145,22.873228332808903,23.989198527359573,23.15937778472427,23.47,23.47,75.43075106796633,410786.4017636179
1476,1476,-8.941666666666668,0.0,9266.612164555145,22.887982251861647,23.779676322137888,23.149011618490423,24.45000000000001,24.45000000000001,75.43075106796633,410596.30994269374
1477,1477,-8.983333333333336,0.0,9266.612164555145,22.89726358057257,23.59951125202277,23.121405183445678,23.61999999999999,23.61999999999999,75.4307510679663,410528.5540007575
1478,1478,-9.025,0.0,9266.612164555145,22.89331561349153,23.875434050155025,23.152505826211556,23.14,23.14,72.47046207703656,407655.0250098045
1479,1479,-9.066666666666668,0.0,9266.612164555145,22.80927907022685,23.25374363979064,23.11886706421009,24.24000000000001,24.24000000000001,75.43075106796636,413748.5356681119
1480,1480,-9.108333333333336,0.0,9266.612164555145,22.85517903701532,23.639589317925825,23.046468446156613,23.580000000000005,23.580000000000005,75.43075106796633,410592.642016297
1481,1481,-9.15,0.0,9266.612164555145,22.814464878031817,23.7059933649731,23.05900319460885,23.01,23.01,75.43075106796633,412953.39015136205
1482,1482,-9.191666666666668,0.0,9266.612164555145,22.761664488328446,23.79578025628963,23.07331056865704,24.75,24.75,75.43075106796633,413803.71725606057
1483,1483,-9.233333333333336,0.0,9266.612164555145,22.81903045150293,23.761673116905445,23.089687744316677,23.29,23.29,75.43075106796633,410280.43955962564
1484,1484,-9.275,0.0,9266.612164555145,22.752214366017057,23.67248894420303,23.09804623134349,24.39,24.39,75.43075106796633,414419.6284847431
1485,1485,-9.316666666666668,0.0,9266.612164555145,22.82440316543537,23.811018341903605,23.11284023089067,23.000000000000004,23.000000000000004,75.43075106796633,409882.4838526114
1486,1486,-9.358333333333336,0.0,9266.612164555145,22.86489636847972,24.327541904610058,23.129226053452662,24.43,24.43,75.43075106796633,410572.6740478588
1487,1487,-9.4,0.0,9266.612164555145,22.793603739267148,23.98226867910355,23.207348026762013,23.42,23.42,75.43075106796633,413618.6449741151
1488,1488,-9.4,0.0,9266.612164555145,22.84656922458312,24.299831032787555,23.21564301593596,24.48,24.48,73.94940651006783,408441.47043364594
1489,1489,-9.4,0.0,9266.612164555145,22.76641641965444,23.418775235379748,23.20772711361116,23.56,23.56,75.43075106796633,413676.6700602081
1490,1490,-9.4,0.0,9266.612164555145,22.81611280191234,23.61023302556628,23.12127074657908,24.320000000000004,24.320000000000004,75.43075106796633,410729.7722016135
1491,1491,-9.4,0.0,9266.612164555145,22.85417186117973,23.85530444858123,23.09484114669857,24.22000000000001,24.22000000000001,75.43075106796633,410544.26279356383
1492,1492,-9.4,0.0,9266.612164555145,22.775552335790692,23.26752802512711,23.070234683750574,25.0,25.0,75.43075106796633,413698.48240418907
1493,1493,-9.4,0.0,9266.612164555145,22.856193246987296,23.72562405670145,23.02394214903101,23.04,23.04,74.45931814126865,408626.14343810506
1494,1494,-9.4,0.0,9266.612164555145,22.86785003735416,23.71783144708669,23.04383802091625,24.14,24.14,75.43075106796633,410544.03777727694
1495,1495,-9.4,0.0,9266.612164555145,22.812706710460787,23.62955651857207,23.053298028534584,23.0,23.0,75.43075106796633,412563.00020300905
1496,1496,-9.4,0.0,9266.612164555145,22.787464713824612,23.716987404080676,23.062425816424327,24.640000000000004,24.640000000000004,72.59178886542489,409080.32535946846
1497,1497,-9.4,0.0,9266.612164555145,22.818402691772484,23.85025328171885,23.05663119258863,23.3,23.3,75.43075106796633,410679.8983443364
1498,1498,-9.4,0.0,9266.612164555145,22.76741587505457,23.408202524297643,23.04140855751109,24.81,24.81,73.90659689200871,411180.5928613997
1499,1499,-9.4,0.0,9266.612164555145,22.817830235550147,24.114488914301038,23.052134580495075,24.890000000000004,24.890000000000004,75.43075106796633,410660.9534649868
1500,1500,-9.541666666666668,0.0,10475.672930256678,22.83731639368915,23.88036381322888,23.06820891082039,24.2,24.2,75.43075106796633,410504.4502596153
1501,1501,-9.683333333333334,0.0,10475.672930256678,22.75748687203719,23.465469983929182,23.055413045988413,24.1,24.1,75.43075106796633,413726.44378285273
1502,1502,-9.825,0.0,10475.672930256678,22.80058507447121,23.344648114908058,22.99999241374321,24.59,24.59,75.43075106796633,410549.4993757051
1503,1503,-9.966666666666667,0.0,10475.672930256678,22.843632070042556,23.687053121348843,22.961443529247962,24.14,24.14,75.43075106796633,410572.847528171
1504,1504,-10.108333333333333,0.0,10475.672930256678,22.852692354905084,23.870011695339493,23.022815640301214,23.39,23.39,75.43075106796633,410588.15658290905
